,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"2,435.00","2,435.00","2,390.00","2,401.40","2,419.00","2,414.80","2,413.71","4,190.00","1,017.45","2,479,711","5,985,305,541.70","94,144"
1,19-Jun-2023,EQ,"2,504.00","2,521.60","2,350.00","2,509.60","2,411.45","2,401.40","2,414.19","4,190.00","1,017.45","11,475,674","27,704,469,849.00","240,481"
2,16-Jun-2023,EQ,"2,499.20","2,526.90","2,487.40","2,485.65","2,504.90","2,509.60","2,509.05","4,190.00","1,017.45","7,999,982","20,072,330,922.65","119,702"
3,15-Jun-2023,EQ,"2,469.00","2,527.00","2,462.90","2,457.15","2,488.00","2,485.65","2,497.56","4,190.00","1,017.45","3,744,029","9,350,929,369.80","128,109"
4,14-Jun-2023,EQ,"2,469.90","2,484.80","2,452.35","2,462.55","2,457.00","2,457.15","2,466.03","4,190.00","1,017.45","1,364,403","3,364,663,380.20","52,469"
5,13-Jun-2023,EQ,"2,499.00","2,505.00","2,442.20","2,484.80","2,464.05","2,462.55","2,477.69","4,190.00","1,017.45","2,210,990","5,478,147,126.60","84,140"
6,12-Jun-2023,EQ,"2,460.00","2,505.00","2,432.60","2,451.15","2,492.40","2,484.80","2,475.91","4,190.00","1,017.45","2,804,898","6,944,666,332.20","109,217"
7,09-Jun-2023,EQ,"2,447.95","2,458.90","2,428.00","2,429.15","2,454.00","2,451.15","2,446.22","4,190.00","1,017.45","1,948,506","4,766,477,363.00","70,948"
8,08-Jun-2023,EQ,"2,450.00","2,475.90","2,369.05","2,439.55","2,436.20","2,429.15","2,432.48","4,190.00","1,017.45","3,781,621","9,198,736,069.95","143,560"
9,07-Jun-2023,EQ,"2,453.00","2,466.95","2,435.00","2,433.65","2,440.50","2,439.55","2,449.14","4,190.00","1,017.45","2,522,516","6,178,005,370.60","85,030"
10,06-Jun-2023,EQ,"2,475.00","2,506.95","2,425.90","2,433.95","2,430.05","2,433.65","2,446.03","4,190.00","1,017.45","6,473,608","15,834,607,233.95","142,108"
11,05-Jun-2023,EQ,"2,463.20","2,514.00","2,428.00","2,445.05","2,440.00","2,433.95","2,465.50","4,190.00","1,017.45","2,956,768","7,289,898,971.70","124,934"
12,02-Jun-2023,EQ,"2,535.00","2,538.90","2,425.00","2,492.15","2,440.00","2,445.05","2,459.27","4,190.00","1,017.45","5,543,791","13,633,668,219.65","141,696"
13,01-Jun-2023,EQ,"2,499.90","2,560.00","2,485.30","2,493.35","2,496.00","2,492.15","2,507.49","4,190.00","1,017.45","1,704,946","4,275,137,755.20","72,211"
14,31-May-2023,EQ,"2,482.00","2,573.00","2,428.00","2,496.45","2,494.00","2,493.35","2,506.49","4,190.00","1,017.45","4,268,439","10,698,799,708.45","181,970"
15,30-May-2023,EQ,"2,529.30","2,554.15","2,475.15","2,534.05","2,497.00","2,496.45","2,522.15","4,190.00","1,017.45","1,736,953","4,380,850,868.55","80,071"
16,29-May-2023,EQ,"2,570.00","2,583.50","2,523.00","2,544.35","2,533.00","2,534.05","2,549.41","4,190.00","1,017.45","2,779,432","7,085,912,286.85","113,984"
17,26-May-2023,EQ,"2,565.00","2,599.95","2,535.15","2,537.45","2,540.00","2,544.35","2,559.29","4,190.00","1,017.45","3,963,515","10,143,788,505.15","170,861"
18,25-May-2023,EQ,"2,440.00","2,558.80","2,386.65","2,475.60","2,548.00","2,537.45","2,470.91","4,190.00","1,017.45","8,434,009","20,839,672,856.80","345,309"
19,24-May-2023,EQ,"2,709.00","2,750.00","2,425.35","2,633.70","2,475.00","2,475.60","2,554.26","4,190.00","1,017.45","23,465,761","59,937,752,898.10","834,165"
20,23-May-2023,EQ,"2,410.90","2,759.45","2,400.00","2,326.10","2,639.95","2,633.70","2,636.02","4,190.00","1,017.45","28,432,888","74,949,700,740.80","873,248"
21,22-May-2023,EQ,"2,010.00","2,347.00","1,983.40","1,956.05","2,338.55","2,326.10","2,212.95","4,190.00","1,017.45","26,311,368","58,225,795,208.90","779,253"
22,19-May-2023,EQ,"1,888.00","1,983.00","1,872.10","1,890.00","1,955.00","1,956.05","1,933.65","4,190.00","1,017.45","7,541,150","14,581,971,986.60","249,199"
23,18-May-2023,EQ,"1,910.05","1,924.00","1,877.20","1,899.50","1,883.00","1,890.00","1,900.73","4,190.00","1,017.45","2,437,396","4,632,836,955.00","73,391"
24,17-May-2023,EQ,"1,900.00","1,919.95","1,857.75","1,889.15","1,897.05","1,899.50","1,889.86","4,190.00","1,017.45","3,632,797","6,865,480,354.60","121,068"
25,16-May-2023,EQ,"1,927.00","1,935.00","1,881.00","1,916.05","1,898.00","1,889.15","1,907.38","4,190.00","1,017.45","3,058,799","5,834,282,250.60","93,909"
