,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"3,315.00","3,326.85","3,277.10","3,309.70","3,312.70","3,318.70","3,300.28","3,582.90","2,588.35","866,290","2,859,001,340.75","78,457"
1,19-Jun-2023,EQ,"3,318.85","3,344.95","3,303.25","3,316.85","3,311.20","3,309.70","3,318.54","3,582.90","2,588.35","516,915","1,715,404,356.00","45,543"
2,16-Jun-2023,EQ,"3,291.75","3,322.00","3,286.55","3,294.35","3,318.15","3,316.85","3,307.13","3,582.90","2,560.00","984,671","3,256,430,329.95","62,695"
3,15-Jun-2023,EQ,"3,276.00","3,304.00","3,273.35","3,270.20","3,291.00","3,294.35","3,291.01","3,582.90","2,560.00","806,994","2,655,828,012.60","92,700"
4,14-Jun-2023,EQ,"3,265.00","3,289.90","3,253.00","3,262.85","3,270.75","3,270.20","3,270.11","3,582.90","2,560.00","741,615","2,425,163,503.10","81,023"
5,13-Jun-2023,EQ,"3,210.00","3,272.00","3,205.15","3,194.75","3,256.10","3,262.85","3,256.54","3,582.90","2,560.00","1,598,821","5,206,621,879.85","107,400"
6,12-Jun-2023,EQ,"3,185.20","3,202.35","3,151.15","3,180.55","3,197.40","3,194.75","3,180.24","3,582.90","2,560.00","1,029,156","3,272,962,229.95","49,670"
7,09-Jun-2023,EQ,"3,209.80","3,238.90","3,168.55","3,212.25","3,178.90","3,180.55","3,198.83","3,582.90","2,560.00","1,239,045","3,963,489,132.60","67,292"
8,08-Jun-2023,EQ,"3,220.00","3,247.00","3,193.00","3,224.80","3,215.80","3,212.25","3,216.20","3,582.90","2,560.00","561,161","1,804,806,404.20","51,824"
9,07-Jun-2023,EQ,"3,217.00","3,229.25","3,206.25","3,212.75","3,227.00","3,224.80","3,220.53","3,582.90","2,560.00","470,038","1,513,770,533.85","59,601"
10,06-Jun-2023,EQ,"3,207.75","3,238.90","3,195.00","3,199.75","3,213.00","3,212.75","3,216.85","3,582.90","2,560.00","577,698","1,858,367,579.40","64,101"
11,05-Jun-2023,EQ,"3,239.95","3,239.95","3,195.00","3,237.25","3,201.80","3,199.75","3,208.79","3,582.90","2,560.00","492,565","1,580,536,275.70","48,058"
12,02-Jun-2023,EQ,"3,239.40","3,249.95","3,219.00","3,240.70","3,232.00","3,237.25","3,237.82","3,582.90","2,560.00","781,973","2,531,888,968.15","66,607"
13,01-Jun-2023,EQ,"3,235.35","3,249.90","3,207.00","3,192.95","3,240.00","3,240.70","3,236.48","3,582.90","2,560.00","1,104,861","3,575,856,348.15","93,247"
14,31-May-2023,EQ,"3,151.95","3,219.35","3,136.45","3,144.40","3,195.00","3,192.95","3,190.32","3,582.90","2,560.00","2,349,066","7,494,260,796.65","106,339"
