,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"7,376.15","7,376.15","7,201.00","7,386.20","7,253.00","7,248.80","7,246.46","7,778.00","5,335.05","863,826","6,259,676,317.90","89,567"
1,19-Jun-2023,EQ,"7,211.95","7,398.85","7,202.25","7,203.20","7,368.00","7,386.20","7,323.26","7,778.00","5,335.05","1,184,590","8,675,066,270.80","99,108"
2,16-Jun-2023,EQ,"7,170.00","7,218.60","7,131.00","7,126.60","7,200.00","7,203.20","7,188.80","7,778.00","5,220.00","1,414,858","10,171,133,864.15","91,368"
3,15-Jun-2023,EQ,"7,095.00","7,141.70","7,056.00","7,096.85","7,123.00","7,126.60","7,105.32","7,778.00","5,220.00","437,018","3,105,154,890.80","44,338"
4,14-Jun-2023,EQ,"7,182.00","7,182.00","7,082.05","7,166.75","7,094.00","7,096.85","7,109.98","7,778.00","5,220.00","401,520","2,854,799,253.45","48,638"
5,13-Jun-2023,EQ,"7,100.00","7,200.00","7,100.00","7,097.70","7,164.00","7,166.75","7,162.07","7,778.00","5,220.00","800,134","5,730,616,878.60","84,640"
6,12-Jun-2023,EQ,"7,050.15","7,110.00","7,041.60","7,037.15","7,107.90","7,097.70","7,092.44","7,778.00","5,220.00","513,255","3,640,231,649.80","50,861"
7,09-Jun-2023,EQ,"7,012.75","7,082.50","7,012.05","7,010.10","7,030.00","7,037.15","7,045.86","7,778.00","5,220.00","447,361","3,152,043,740.75","51,400"
8,08-Jun-2023,EQ,"7,080.00","7,111.00","6,995.15","7,079.95","7,012.75","7,010.10","7,033.76","7,778.00","5,220.00","455,360","3,202,892,036.25","48,153"
9,07-Jun-2023,EQ,"7,120.00","7,141.00","7,062.00","7,113.95","7,084.95","7,079.95","7,089.78","7,778.00","5,220.00","534,483","3,789,368,329.50","58,110"
10,06-Jun-2023,EQ,"7,025.00","7,132.00","7,025.00","7,043.20","7,122.95","7,113.95","7,087.34","7,778.00","5,220.00","690,586","4,894,416,888.55","68,541"
