,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0.00,45097.00,EQ,375.00,375.05,371.50,374.75,372.00,372.45,372.63,380.45,288.05,1207938.00,450108946.30,21718.00
1.00,45096.00,EQ,377.00,378.70,374.15,376.80,375.55,374.75,376.17,380.45,288.05,1517385.00,570798404.85,32248.00
2.00,45093.00,EQ,377.00,378.70,374.40,378.90,376.00,376.80,376.21,380.45,288.05,2139294.00,804814269.95,36804.00
3.00,45092.00,EQ,375.10,380.45,373.00,373.55,378.95,378.90,378.44,380.45,288.05,6105440.00,2310541466.75,62008.00
4.00,45091.00,EQ,373.50,378.50,370.90,373.60,373.20,373.55,375.47,378.50,288.05,3357184.00,1260513957.95,59087.00
5.00,45090.00,EQ,374.50,376.90,372.40,371.65,373.30,373.60,374.57,376.90,288.05,3987317.00,1493537300.10,51491.00
6.00,45089.00,EQ,360.50,372.50,360.20,359.45,371.40,371.65,367.92,374.90,288.05,4717149.00,1735545105.10,55166.00
7.00,45086.00,EQ,361.10,364.00,358.80,361.10,360.25,359.45,361.41,374.90,288.05,1542985.00,557650224.55,25542.00
8.00,45085.00,EQ,367.60,367.60,360.30,368.10,362.00,361.10,362.46,374.90,288.05,3582191.00,1298405437.15,51931.00
9.00,45084.00,EQ,357.00,369.50,356.75,356.15,367.90,368.10,365.64,374.90,288.05,6415428.00,2345727301.45,68625.00
10.00,45083.00,EQ,357.05,359.00,354.60,356.80,356.75,356.15,356.69,374.90,288.05,2106537.00,751388003.95,30707.00
11.00,45082.00,EQ,360.10,362.00,355.00,360.05,357.00,356.80,356.71,374.90,288.05,2929068.00,1044828754.45,30904.00
12.00,45079.00,EQ,364.60,366.80,359.10,364.55,359.80,360.05,362.85,374.90,288.05,3466237.00,1257716239.00,46335.00
13.00,45078.00,EQ,365.30,368.90,364.10,363.50,364.50,364.55,366.23,374.90,288.05,1768641.00,647731990.90,33810.00
14.00,45077.00,EQ,360.40,366.45,360.20,360.40,364.60,363.50,363.67,374.90,288.05,11607240.00,4221202480.80,61028.00
15.00,45076.00,EQ,363.00,364.00,360.00,361.70,360.20,360.40,361.46,374.90,288.05,1361344.00,492073361.65,33824.00
16.00,45075.00,EQ,364.30,367.30,361.00,364.30,362.50,361.70,363.12,374.90,288.05,1170519.00,425043552.40,25907.00
17.00,45072.00,EQ,365.00,367.00,363.10,363.30,364.05,364.30,364.44,374.90,288.05,1092796.00,398256155.45,20938.00
18.00,45071.00,EQ,363.00,364.20,360.35,363.30,364.00,363.30,362.23,374.90,288.05,1676285.00,607201997.20,23700.00
19.00,45070.00,EQ,366.55,369.10,361.85,366.60,364.00,363.30,365.70,374.90,288.05,1875480.00,685865288.45,27653.00
20.00,45069.00,EQ,367.00,371.00,365.00,361.60,366.20,366.60,368.17,374.90,288.05,5971589.00,2198566504.25,73959.00
21.00,45068.00,EQ,361.95,362.75,358.55,360.30,362.10,361.60,360.94,374.90,288.05,1603444.00,578746575.90,30470.00
22.00,45065.00,EQ,360.10,362.50,357.60,360.70,360.95,360.30,359.84,374.90,288.05,1157763.00,416607880.35,21350.00
23.00,45064.00,EQ,366.00,366.00,360.10,364.75,360.25,360.70,362.99,374.90,288.05,1713445.00,621957821.85,37790.00
24.00,45063.00,EQ,366.75,369.50,363.95,362.30,364.70,364.75,366.61,374.90,288.05,3879878.00,1422421262.00,57236.00
25.00,45062.00,EQ,358.25,366.30,357.00,357.00,363.00,362.30,361.70,374.90,288.05,3786371.00,1369515581.55,56965.00
26.00,45061.00,EQ,362.00,363.85,356.35,361.90,356.90,357.00,359.04,374.90,288.05,2404765.00,863417729.20,70816.00
27.00,45058.00,EQ,371.90,371.90,359.00,372.55,362.15,361.90,362.12,374.90,288.05,3895907.00,1410801915.10,58000.00
28.00,45057.00,EQ,373.15,374.90,371.50,372.15,372.05,372.55,373.42,374.90,288.05,1693684.00,632461633.65,34295.00
29.00,45056.00,EQ,368.00,373.00,365.40,367.05,371.70,372.15,370.41,373.00,288.05,2780978.00,1030088711.20,49366.00
30.00,45055.00,EQ,365.85,370.00,364.70,367.70,366.30,367.05,367.17,370.00,288.05,2089839.00,767321551.35,34601.00
31.00,45054.00,EQ,365.45,368.70,362.45,365.45,368.00,367.70,367.25,369.65,288.05,1200364.00,440831698.00,24832.00
32.00,45051.00,EQ,367.10,369.65,364.05,368.35,364.30,365.45,366.93,371.40,288.05,1650115.00,605484769.30,30945.00
