,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"1,013.85","1,018.80","1,002.60","1,011.25","1,012.20","1,011.15","1,009.74","1,185.25",852.0,"1,413,571","1,427,335,745.35","34,048"
1,19-Jun-2023,EQ,"1,006.25","1,017.55",999.20,"1,006.05","1,015.50","1,011.25","1,009.72","1,185.25",852.0,"1,015,057","1,024,920,371.30","43,906"
2,16-Jun-2023,EQ,"1,000.00","1,007.15",993.75,998.20,"1,006.25","1,006.05","1,002.31","1,185.25",852.0,"1,572,197","1,575,826,479.45","54,646"
3,15-Jun-2023,EQ,981.95,"1,000.00",980.60,978.70,998.10,998.20,992.72,"1,185.25",852.0,"1,804,458","1,791,326,970.75","86,016"
4,14-Jun-2023,EQ,981.50,981.90,972.60,981.50,979.00,978.70,977.72,"1,185.25",852.0,"1,831,109","1,790,309,971.55","37,371"
5,13-Jun-2023,EQ,963.00,983.85,957.00,959.95,982.15,981.50,969.37,"1,185.25",852.0,"2,158,120","2,092,014,010.60","49,498"
6,12-Jun-2023,EQ,973.25,973.25,955.15,969.25,960.50,959.95,963.31,"1,185.25",852.0,"1,239,721","1,194,229,879.60","33,080"
7,09-Jun-2023,EQ,966.00,971.00,959.15,965.40,970.00,969.25,966.65,"1,185.25",852.0,"717,024","693,113,200.60","21,010"
8,08-Jun-2023,EQ,964.90,969.85,963.00,960.45,965.85,965.40,966.07,"1,185.25",852.0,"1,481,632","1,431,357,288.85","36,018"
9,07-Jun-2023,EQ,972.95,977.90,958.50,972.05,962.50,960.45,965.57,"1,185.25",852.0,"1,614,117","1,558,541,573.45","66,948"
10,06-Jun-2023,EQ,972.90,974.95,964.05,974.80,973.50,972.05,970.15,"1,185.25",852.0,"2,079,735","2,017,648,115.75","54,498"
11,05-Jun-2023,EQ,970.00,976.90,959.15,965.85,975.75,974.80,970.44,"1,185.25",852.0,"1,469,770","1,426,322,379.60","48,766"
12,02-Jun-2023,EQ,965.90,969.65,954.65,964.75,965.00,965.85,962.04,"1,185.25",852.0,"1,098,485","1,056,789,964.50","43,430"
13,01-Jun-2023,EQ,950.00,966.50,946.75,953.05,964.10,964.75,959.40,"1,185.25",852.0,"1,132,919","1,086,919,301.85","37,737"
14,31-May-2023,EQ,960.20,965.00,942.30,959.85,949.00,953.05,955.66,"1,185.25",852.0,"3,561,991","3,404,054,382.50","50,763"
15,30-May-2023,EQ,957.60,961.50,951.00,956.25,959.00,959.85,957.82,"1,185.25",852.0,"1,337,311","1,280,902,582.70","54,859"
16,29-May-2023,EQ,952.00,959.20,945.10,951.35,953.10,956.25,951.25,"1,185.25",852.0,"1,744,868","1,659,804,464.35","47,741"
17,26-May-2023,EQ,945.90,952.75,940.50,945.45,950.00,951.35,948.43,"1,185.25",852.0,"1,130,476","1,072,176,480.40","53,861"
18,25-May-2023,EQ,941.45,947.00,935.00,938.00,945.50,945.45,943.05,"1,185.25",852.0,"2,178,211","2,054,166,504.30","46,284"
19,24-May-2023,EQ,923.50,939.90,923.50,930.40,937.90,938.00,934.02,"1,185.25",852.0,"1,034,319","966,077,897.40","41,311"
20,23-May-2023,EQ,926.40,932.30,919.50,924.95,931.30,930.40,928.57,"1,185.25",852.0,"1,577,827","1,465,130,219.40","34,791"
21,22-May-2023,EQ,916.25,931.05,915.45,916.25,924.50,924.95,925.64,"1,185.25",852.0,"1,402,783","1,298,467,749.30","50,791"
22,19-May-2023,EQ,917.00,922.00,913.00,914.50,917.00,916.25,917.15,"1,185.25",852.0,"1,168,086","1,071,308,384.20","36,598"
23,18-May-2023,EQ,929.00,929.65,911.55,923.95,916.00,914.50,918.20,"1,185.25",852.0,"1,881,606","1,727,681,954.40","69,741"
24,17-May-2023,EQ,924.95,932.00,917.00,922.10,922.15,923.95,923.85,"1,185.25",852.0,"1,866,976","1,724,798,436.65","79,339"
25,16-May-2023,EQ,927.40,942.65,918.40,922.80,920.00,922.10,930.47,"1,185.25",852.0,"2,964,696","2,758,547,373.85","101,341"
26,15-May-2023,EQ,940.00,940.00,896.85,937.45,921.45,922.80,913.08,"1,185.25",852.0,"5,487,301","5,010,331,712.50","312,509"
27,12-May-2023,EQ,948.85,953.00,913.00,943.60,931.50,937.45,942.43,"1,185.25",852.0,"3,850,078","3,628,444,421.25","88,942"
28,11-May-2023,EQ,946.45,947.00,935.00,944.40,943.00,943.60,942.27,"1,185.25",852.0,"1,537,103","1,448,373,644.00","48,086"
29,10-May-2023,EQ,943.50,946.70,933.20,939.20,946.15,944.40,939.85,"1,185.25",852.0,"1,618,668","1,521,300,967.25","47,645"
30,09-May-2023,EQ,935.00,943.00,929.10,933.30,940.00,939.20,937.44,"1,185.25",852.0,"2,657,968","2,491,678,044.50","73,908"
31,08-May-2023,EQ,927.20,934.90,919.65,924.80,933.95,933.30,924.20,"1,185.25",852.0,"3,877,794","3,583,838,199.10","51,913"
32,05-May-2023,EQ,935.00,935.20,920.85,933.50,922.00,924.80,925.25,"1,185.25",852.0,"2,262,141","2,093,050,381.40","50,346"
33,04-May-2023,EQ,920.65,935.40,920.65,920.65,932.50,933.50,930.07,"1,185.25",852.0,"3,393,228","3,155,948,163.40","76,522"
34,03-May-2023,EQ,920.95,924.50,917.00,917.70,920.50,920.65,920.88,"1,185.25",852.0,"2,566,561","2,363,503,209.55","54,656"
35,02-May-2023,EQ,910.40,921.00,906.10,908.05,919.05,917.70,912.48,"1,185.25",852.0,"1,857,324","1,694,766,414.10","58,781"
36,28-Apr-2023,EQ,918.85,919.00,905.15,913.95,908.95,908.05,909.07,"1,185.25",852.0,"2,695,819","2,450,695,003.90","61,689"
37,27-Apr-2023,EQ,911.20,917.30,903.00,911.10,917.20,913.95,909.16,"1,185.25",852.0,"2,457,652","2,234,402,342.15","52,685"
38,26-Apr-2023,EQ,911.85,914.20,900.05,909.65,913.00,911.10,908.36,"1,185.25",852.0,"1,400,796","1,272,421,777.65","50,831"
39,25-Apr-2023,EQ,904.60,912.00,896.30,903.00,909.00,909.65,905.22,"1,185.25",852.0,"2,440,358","2,209,067,175.95","56,116"
40,24-Apr-2023,EQ,916.00,917.20,901.15,915.05,904.50,903.00,904.34,"1,185.25",852.0,"1,784,945","1,614,192,372.85","43,016"
41,21-Apr-2023,EQ,903.00,918.55,903.00,904.00,915.90,915.05,911.50,"1,185.25",852.0,"3,481,218","3,173,146,386.60","51,597"
42,20-Apr-2023,EQ,912.00,913.70,898.95,911.90,905.00,904.00,904.39,"1,185.25",852.0,"4,446,158","4,021,076,059.35","59,813"
43,19-Apr-2023,EQ,925.95,925.95,909.00,924.25,912.80,911.90,916.87,"1,185.25",852.0,"1,538,261","1,410,379,910.30","55,774"
44,18-Apr-2023,EQ,905.00,925.50,897.00,906.45,925.10,924.25,915.19,"1,185.25",852.0,"1,949,777","1,784,408,058.50","84,221"
45,17-Apr-2023,EQ,915.00,917.45,901.10,915.75,907.00,906.45,905.08,"1,185.25",852.0,"2,604,979","2,357,712,697.45","95,178"
46,13-Apr-2023,EQ,921.90,923.05,912.30,917.95,914.70,915.75,916.31,"1,185.25",852.0,"1,068,355","978,943,922.90","45,033"
47,12-Apr-2023,EQ,909.00,920.90,908.20,907.15,919.20,917.95,916.09,"1,185.25",852.0,"3,449,942","3,160,470,835.20","56,854"
48,11-Apr-2023,EQ,905.00,908.15,902.00,901.85,907.05,907.15,905.86,"1,185.25",852.0,"1,778,775","1,611,312,744.85","54,860"
49,10-Apr-2023,EQ,896.95,904.50,894.20,893.35,902.00,901.85,900.29,"1,185.25",852.0,"919,722","828,017,827.70","34,429"
