,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,227.75,227.75,225.5,227.15,227.4,227.25,226.64,263.4,174.75,"5,024,593","1,138,765,042.05","54,920"
1,19-Jun-2023,EQ,228.5,228.8,226.6,228.55,227.5,227.15,227.39,263.4,174.75,"8,210,198","1,866,938,309.40","64,800"
2,16-Jun-2023,EQ,228.5,229.7,228.0,228.6,228.85,228.55,228.82,263.4,174.75,"8,518,319","1,949,135,019.15","69,182"
3,15-Jun-2023,EQ,229.2,229.65,227.9,228.95,228.6,228.6,228.55,263.4,174.75,"6,363,240","1,454,303,045.00","82,564"
4,14-Jun-2023,EQ,229.9,229.9,227.55,228.95,229.0,228.95,228.64,263.4,174.75,"7,034,468","1,608,360,828.70","58,096"
5,13-Jun-2023,EQ,230.0,230.3,228.0,229.0,229.05,228.95,228.68,263.4,174.75,"5,574,798","1,274,831,584.35","51,072"
6,12-Jun-2023,EQ,228.25,229.25,226.65,227.65,229.15,229.0,228.4,263.4,174.75,"4,261,576","973,364,950.40","46,251"
7,09-Jun-2023,EQ,228.95,229.45,227.35,228.1,227.8,227.65,228.43,263.4,174.75,"5,137,982","1,173,683,139.65","47,712"
8,08-Jun-2023,EQ,231.4,231.4,227.65,230.7,228.7,228.1,229.01,263.4,174.75,"8,538,256","1,955,320,035.30","80,034"
9,07-Jun-2023,EQ,228.75,231.5,228.1,227.8,230.9,230.7,230.49,263.4,174.75,"21,853,324","5,036,954,082.00","88,914"
10,06-Jun-2023,EQ,229.8,230.65,226.75,229.7,228.2,227.8,228.05,263.4,174.75,"13,495,524","3,077,672,911.90","98,056"
11,05-Jun-2023,EQ,230.5,231.2,229.45,230.9,229.7,229.7,230.17,263.4,174.75,"19,807,347","4,559,026,354.75","102,290"
12,02-Jun-2023,EQ,228.5,233.4,228.1,230.35,230.6,230.9,230.62,263.4,174.75,"36,400,588","8,394,806,999.15","128,726"
13,01-Jun-2023,EQ,230.4,231.9,229.15,241.25,230.0,230.35,230.33,263.4,174.75,"35,509,867","8,178,979,486.45","140,655"
14,31-May-2023,EQ,247.9,247.9,239.3,244.3,241.5,241.25,241.31,263.4,174.75,"15,727,646","3,795,233,319.70","192,692"
15,30-May-2023,EQ,246.25,247.15,243.3,246.1,244.45,244.3,244.95,263.4,174.75,"4,657,906","1,140,939,030.95","41,442"
16,29-May-2023,EQ,241.55,247.65,240.8,241.5,246.0,246.1,245.58,263.4,174.75,"8,069,985","1,981,789,742.85","52,653"
17,26-May-2023,EQ,239.8,242.45,239.1,240.05,241.0,241.5,241.25,263.4,174.75,"2,646,742","638,521,722.00","27,856"
18,25-May-2023,EQ,241.25,242.2,237.9,241.0,239.6,240.05,239.61,263.4,174.75,"3,810,138","912,940,587.00","53,030"
19,24-May-2023,EQ,238.3,241.5,238.0,239.3,240.7,241.0,240.21,263.4,174.75,"2,422,138","581,830,745.45","31,455"
20,23-May-2023,EQ,238.95,240.2,236.8,238.7,239.8,239.3,239.07,263.4,174.75,"3,213,453","768,236,735.10","34,093"
21,22-May-2023,EQ,239.4,241.2,237.45,239.9,238.6,238.7,239.66,263.4,174.75,"2,891,415","692,968,426.60","49,625"
22,19-May-2023,EQ,240.0,241.6,236.3,239.6,239.7,239.9,239.75,263.4,167.85,"3,810,543","913,576,805.05","43,263"
23,18-May-2023,EQ,242.0,242.9,238.95,241.6,240.0,239.6,241.48,263.4,167.85,"3,512,113","848,089,524.35","44,127"
24,17-May-2023,EQ,240.95,243.7,240.75,240.95,241.5,241.6,242.16,263.4,167.85,"4,968,232","1,203,101,410.15","61,915"
25,16-May-2023,EQ,238.75,241.7,237.45,237.7,241.0,240.95,239.83,263.4,167.85,"6,016,484","1,442,958,587.45","54,856"
26,15-May-2023,EQ,234.6,239.6,233.85,235.05,237.5,237.7,237.44,263.4,167.85,"4,217,892","1,001,514,790.05","51,168"
27,12-May-2023,EQ,236.15,237.25,234.25,236.15,235.25,235.05,235.5,263.4,164.65,"2,348,435","553,052,970.40","38,346"
28,11-May-2023,EQ,236.55,238.15,235.7,236.55,236.5,236.15,236.96,263.4,164.65,"2,675,726","634,047,846.45","38,715"
29,10-May-2023,EQ,236.95,237.25,234.55,236.35,236.5,236.55,235.88,263.4,164.65,"3,650,159","860,984,880.50","44,895"
30,09-May-2023,EQ,234.8,238.8,233.5,232.85,235.95,236.35,236.45,263.4,164.65,"7,318,928","1,730,558,265.90","85,675"
31,08-May-2023,EQ,232.5,233.4,230.0,237.4,233.05,232.85,231.54,263.4,164.65,"9,711,437","2,248,615,597.00","77,709"
32,05-May-2023,EQ,237.85,238.0,236.0,237.45,237.6,237.4,237.1,263.4,164.65,"3,043,479","721,622,513.45","32,793"
33,04-May-2023,EQ,236.85,238.0,234.15,236.9,236.5,237.45,236.21,263.4,164.65,"7,248,108","1,712,076,797.20","52,076"
34,03-May-2023,EQ,236.05,238.95,234.6,236.1,236.8,236.9,237.34,263.4,164.65,"4,523,385","1,073,600,220.00","64,908"
35,02-May-2023,EQ,233.2,237.45,233.1,233.1,236.25,236.1,236.12,263.4,164.65,"3,773,537","890,999,692.20","51,433"
36,28-Apr-2023,EQ,232.5,234.75,231.6,231.75,233.0,233.1,232.87,263.4,164.65,"4,771,074","1,111,035,284.85","40,027"
37,27-Apr-2023,EQ,229.75,232.5,229.15,229.75,232.1,231.75,231.24,263.4,164.65,"3,349,374","774,494,671.45","37,785"
38,26-Apr-2023,EQ,230.0,230.65,228.0,230.25,229.8,229.75,229.35,263.4,164.65,"3,439,487","788,846,723.35","36,811"
39,25-Apr-2023,EQ,231.15,232.3,229.9,231.55,230.6,230.25,231.14,263.4,164.65,"2,570,946","594,241,744.00","43,145"
40,24-Apr-2023,EQ,229.55,232.0,229.55,230.05,231.2,231.55,231.27,263.4,164.65,"2,587,030","598,300,790.75","36,320"
41,21-Apr-2023,EQ,230.0,230.45,227.45,229.55,230.0,230.05,229.3,263.4,164.65,"2,459,508","563,967,501.15","28,899"
42,20-Apr-2023,EQ,229.9,231.5,229.1,230.4,229.65,229.55,230.1,263.4,164.65,"2,589,165","595,771,806.35","37,420"
43,19-Apr-2023,EQ,233.6,234.6,229.0,232.2,230.15,230.4,232.4,263.4,164.65,"7,424,582","1,725,452,232.95","72,753"
44,18-Apr-2023,EQ,229.6,232.4,229.25,229.6,231.7,232.2,231.56,263.4,164.65,"8,004,952","1,853,590,144.45","79,195"
45,17-Apr-2023,EQ,225.5,229.95,225.4,225.5,229.25,229.6,228.36,263.4,164.65,"6,265,943","1,430,881,882.00","49,253"
46,13-Apr-2023,EQ,227.9,229.65,224.45,227.7,225.4,225.5,226.67,263.4,164.65,"3,478,451","788,468,224.00","48,492"
47,12-Apr-2023,EQ,224.0,228.0,223.65,223.65,227.9,227.7,226.57,263.4,164.65,"5,136,012","1,163,642,284.70","61,811"
48,11-Apr-2023,EQ,222.75,224.3,222.0,222.05,223.25,223.65,223.21,263.4,164.65,"3,995,959","891,930,072.00","48,871"
49,10-Apr-2023,EQ,221.45,224.45,221.15,221.7,222.0,222.05,223.12,263.4,164.65,"3,498,235","780,522,612.60","44,626"
50,06-Apr-2023,EQ,222.45,223.15,220.3,222.5,221.6,221.7,221.67,263.4,164.65,"4,589,598","1,017,387,112.55","50,741"
51,05-Apr-2023,EQ,220.3,224.25,220.3,220.15,222.2,222.5,222.38,263.4,164.65,"6,491,910","1,443,640,354.35","65,063"
52,03-Apr-2023,EQ,214.1,220.85,213.8,213.65,220.3,220.15,218.2,263.4,164.65,"7,754,066","1,691,902,604.10","67,160"
53,31-Mar-2023,EQ,212.2,214.3,211.15,212.95,213.25,213.65,213.27,263.4,164.65,"5,139,018","1,096,014,273.75","52,683"
54,29-Mar-2023,EQ,209.95,214.9,208.4,208.9,211.75,212.95,211.88,263.4,164.65,"16,734,166","3,545,699,575.05","71,784"
55,28-Mar-2023,EQ,209.4,211.25,208.45,208.4,209.0,208.9,209.98,263.4,164.65,"6,157,526","1,292,973,222.95","54,236"
56,27-Mar-2023,EQ,208.5,210.2,207.6,208.45,208.4,208.4,209.02,263.4,164.65,"4,002,212","836,542,001.05","48,184"
