,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"4,879.00","4,926.75","4,867.05","4,879.00","4,909.90","4,901.20","4,901.30","5,024.00","3,997.00","214,151","1,049,617,384.00","30,184"
1,19-Jun-2023,EQ,"4,951.00","5,024.00","4,862.05","4,915.05","4,876.00","4,879.00","4,930.07","5,024.00","3,997.00","708,151","3,491,232,463.25","45,779"
2,16-Jun-2023,EQ,"4,844.85","4,940.00","4,825.15","4,803.45","4,900.00","4,915.05","4,908.96","4,989.00","3,997.00","762,903","3,745,058,250.60","66,857"
3,15-Jun-2023,EQ,"4,696.60","4,855.00","4,696.00","4,699.00","4,808.15","4,803.45","4,799.08","4,989.00","3,997.00","726,149","3,484,847,027.50","80,224"
4,14-Jun-2023,EQ,"4,707.80","4,729.55","4,685.00","4,702.00","4,706.00","4,699.00","4,700.49","4,989.00","3,997.00","180,251","847,267,310.85","21,510"
5,13-Jun-2023,EQ,"4,700.00","4,728.80","4,658.05","4,675.65","4,707.85","4,702.00","4,701.74","4,989.00","3,997.00","258,981","1,217,660,695.40","28,313"
6,12-Jun-2023,EQ,"4,695.00","4,695.00","4,654.45","4,666.80","4,675.95","4,675.65","4,678.74","4,989.00","3,997.00","143,574","671,744,989.85","26,499"
7,09-Jun-2023,EQ,"4,681.05","4,705.00","4,645.60","4,649.40","4,662.95","4,666.80","4,674.20","4,989.00","3,997.00","216,940","1,014,021,467.25","32,359"
8,08-Jun-2023,EQ,"4,675.00","4,693.00","4,637.00","4,673.75","4,658.50","4,649.40","4,660.69","4,989.00","3,997.00","240,698","1,121,818,443.60","48,728"
9,07-Jun-2023,EQ,"4,650.00","4,678.00","4,645.10","4,636.65","4,669.00","4,673.75","4,668.73","4,989.00","3,997.00","227,905","1,064,027,141.20","39,465"
10,06-Jun-2023,EQ,"4,610.00","4,640.00","4,605.00","4,603.55","4,639.60","4,636.65","4,626.56","4,989.00","3,997.00","232,331","1,074,894,340.75","27,512"
11,05-Jun-2023,EQ,"4,631.00","4,652.00","4,596.70","4,610.45","4,611.00","4,603.55","4,616.77","4,989.00","3,997.00","226,428","1,045,365,499.05","25,463"
12,02-Jun-2023,EQ,"4,568.95","4,620.00","4,565.05","4,552.05","4,618.00","4,610.45","4,600.22","4,989.00","3,997.00","501,913","2,308,909,575.70","50,071"
