,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0.00,45097.00,EQ,3504.80,3570.00,3465.05,3496.65,3565.00,3562.10,3532.19,3889.65,2599.95,378562.00,1337153985.15,32873.00
1.00,45096.00,EQ,3567.80,3569.15,3493.00,3538.90,3505.00,3496.65,3520.62,3889.65,2599.95,336012.00,1182969616.35,40539.00
2.00,45093.00,EQ,3550.00,3563.90,3490.00,3534.70,3543.50,3538.90,3523.49,3889.65,2585.05,610093.00,2149654581.05,59515.00
3.00,45092.00,EQ,3588.90,3608.80,3530.00,3572.05,3530.20,3534.70,3566.86,3889.65,2585.05,428887.00,1529778161.30,43499.00
4.00,45091.00,EQ,3615.00,3642.30,3563.15,3592.65,3582.00,3572.05,3587.47,3889.65,2585.05,456603.00,1638049907.90,27368.00
5.00,45090.00,EQ,3599.95,3640.75,3583.00,3590.60,3595.00,3592.65,3609.89,3889.65,2585.05,612123.00,2209697187.60,38856.00
6.00,45089.00,EQ,3595.00,3616.50,3556.00,3581.30,3590.00,3590.60,3587.91,3889.65,2585.05,358856.00,1287544251.45,32939.00
7.00,45086.00,EQ,3652.00,3667.20,3576.10,3657.40,3586.95,3581.30,3608.96,3889.65,2585.05,447350.00,1614470483.15,40717.00
8.00,45085.00,EQ,3727.10,3727.10,3644.40,3727.40,3666.90,3657.40,3673.76,3889.65,2585.05,511175.00,1877935743.20,40962.00
9.00,45084.00,EQ,3705.10,3740.00,3697.20,3705.10,3714.00,3727.40,3722.61,3889.65,2585.05,342012.00,1273178044.60,35312.00
10.00,45083.00,EQ,3680.10,3722.00,3680.00,3673.25,3704.10,3705.10,3703.72,3889.65,2585.05,385907.00,1429290892.40,43240.00
11.00,45082.00,EQ,3713.15,3717.50,3665.10,3699.40,3684.00,3673.25,3686.37,3889.65,2585.05,340655.00,1255778876.00,26788.00
12.00,45079.00,EQ,3720.00,3748.00,3657.00,3716.05,3711.00,3699.40,3685.70,3889.65,2585.05,987424.00,3639349929.25,69237.00
13.00,45078.00,EQ,3713.70,3733.00,3687.00,3671.95,3700.60,3716.05,3714.81,3889.65,2585.05,622442.00,2312255185.20,55797.00
14.00,45077.00,EQ,3678.35,3727.00,3656.25,3678.35,3678.30,3671.95,3683.86,3889.65,2585.05,1188672.00,4378901839.95,68961.00
15.00,45076.00,EQ,3711.45,3722.80,3670.40,3711.45,3676.00,3678.35,3702.12,3889.65,2585.05,598100.00,2214236785.20,31086.00
16.00,45075.00,EQ,3700.00,3718.20,3670.00,3690.35,3711.00,3711.45,3698.16,3889.65,2585.05,516724.00,1910930183.20,42455.00
17.00,45072.00,EQ,3649.00,3697.50,3610.00,3651.50,3685.10,3690.35,3660.73,3889.65,2585.05,394991.00,1445953473.60,32068.00
18.00,45071.00,EQ,3610.90,3682.25,3606.90,3610.90,3669.00,3651.50,3647.52,3889.65,2585.05,725887.00,2647690583.50,50510.00
19.00,45070.00,EQ,3600.00,3624.00,3578.90,3601.60,3609.85,3610.90,3609.80,3889.65,2585.05,374043.00,1350219650.35,47907.00
20.00,45069.00,EQ,3545.45,3607.70,3530.05,3545.45,3600.00,3601.60,3578.87,3889.65,2585.05,374270.00,1339465312.55,34915.00
21.00,45068.00,EQ,3569.95,3576.80,3527.00,3570.90,3546.00,3545.45,3544.71,3889.65,2585.05,303121.00,1074475067.10,29823.00
22.00,45065.00,EQ,3566.15,3579.00,3511.50,3576.15,3563.00,3570.90,3556.08,3889.65,2494.65,762689.00,2712183214.05,68289.00
23.00,45064.00,EQ,3636.00,3649.95,3570.45,3628.75,3573.80,3576.15,3604.97,3889.65,2494.65,1235091.00,4452471351.05,45920.00
24.00,45063.00,EQ,3624.00,3636.30,3584.20,3633.20,3634.00,3628.75,3612.83,3889.65,2494.65,755786.00,2730529718.95,42630.00
25.00,45062.00,EQ,3669.00,3685.00,3610.00,3658.50,3611.00,3633.20,3657.51,3889.65,2494.65,1035562.00,3787578619.85,50579.00
26.00,45061.00,EQ,3630.00,3705.00,3630.00,3626.35,3653.85,3658.50,3677.24,3889.65,2494.65,1269701.00,4669000138.45,76942.00
27.00,45058.00,EQ,3520.00,3647.50,3514.95,3405.30,3604.70,3626.35,3612.20,3889.65,2310.00,3665298.00,13239792444.70,240637.00
28.00,45057.00,EQ,3424.85,3424.85,3387.05,3416.75,3404.00,3405.30,3403.04,3889.65,2310.00,408412.00,1389844378.15,37013.00
29.00,45056.00,EQ,3396.60,3422.80,3354.80,3381.90,3415.00,3416.75,3388.93,3889.65,2310.00,386746.00,1310656333.75,41888.00
30.00,45055.00,EQ,3410.00,3410.00,3371.35,3392.90,3391.80,3381.90,3383.76,3889.65,2310.00,347387.00,1175475954.30,36263.00
31.00,45054.00,EQ,3371.00,3407.40,3360.10,3355.10,3390.00,3392.90,3387.90,3889.65,2310.00,322909.00,1093982709.10,31890.00
32.00,45051.00,EQ,3339.30,3392.05,3324.75,3339.30,3347.35,3355.10,3358.32,3889.65,2310.00,518154.00,1740127732.20,32100.00
33.00,45050.00,EQ,3341.00,3382.45,3321.00,3348.35,3336.00,3339.30,3342.14,3889.65,2310.00,325535.00,1087983561.80,26878.00
34.00,45049.00,EQ,3367.90,3367.90,3321.20,3356.15,3354.60,3348.35,3343.44,3889.65,2310.00,577763.00,1931718365.70,39801.00
35.00,45048.00,EQ,3326.95,3383.80,3325.00,3301.10,3343.00,3356.15,3352.72,3889.65,2310.00,838718.00,2811983596.50,53657.00
36.00,45044.00,EQ,3275.00,3305.00,3265.35,3263.55,3298.00,3301.10,3292.26,3889.65,2310.00,416242.00,1370374991.15,29044.00
37.00,45043.00,EQ,3248.30,3270.40,3236.25,3248.35,3270.00,3263.55,3258.16,3889.65,2310.00,464406.00,1513109392.90,26823.00
38.00,45042.00,EQ,3230.00,3280.00,3225.55,3217.95,3242.00,3248.35,3258.85,3889.65,2310.00,881684.00,2873272635.40,56591.00
39.00,45041.00,EQ,3175.00,3246.50,3156.15,3182.80,3230.00,3217.95,3210.77,3889.65,2310.00,574542.00,1844724714.25,51019.00
40.00,45040.00,EQ,3204.00,3217.45,3158.10,3200.70,3185.00,3182.80,3177.01,3889.65,2310.00,379317.00,1205094971.75,34045.00
41.00,45037.00,EQ,3240.00,3259.95,3194.10,3246.95,3204.35,3200.70,3218.12,3889.65,2310.00,443737.00,1428000497.60,52517.00
42.00,45036.00,EQ,3308.70,3308.70,3220.05,3289.60,3250.00,3246.95,3245.58,3889.65,2310.00,483671.00,1569792576.75,46596.00
43.00,45035.00,EQ,3263.95,3300.00,3258.10,3263.55,3288.50,3289.60,3283.93,3889.65,2310.00,646164.00,2121959490.05,45719.00
44.00,45034.00,EQ,3228.65,3278.00,3215.85,3229.00,3263.95,3263.55,3254.03,3889.65,2310.00,577513.00,1879243880.00,54665.00
45.00,45033.00,EQ,3235.00,3254.00,3206.00,3213.05,3215.70,3229.00,3227.47,3889.65,2310.00,539975.00,1742753516.95,45284.00
46.00,45029.00,EQ,3140.00,3231.45,3132.00,3128.35,3212.50,3213.05,3200.59,3889.65,2310.00,1337741.00,4281565434.90,81361.00
47.00,45028.00,EQ,3035.00,3145.00,3035.00,3054.20,3128.75,3128.35,3102.41,3889.65,2310.00,746284.00,2315278193.45,58048.00
48.00,45027.00,EQ,2970.45,3059.00,2970.45,2970.45,3056.20,3054.20,3031.14,3889.65,2310.00,618391.00,1874432096.25,54428.00
49.00,45026.00,EQ,2980.00,2987.00,2951.15,2961.70,2959.00,2970.45,2975.20,3889.65,2310.00,416883.00,1240309571.10,30805.00
50.00,45022.00,EQ,2948.70,2970.00,2926.00,2933.75,2965.00,2961.70,2954.74,3889.65,2310.00,586845.00,1733975466.55,50305.00
51.00,45021.00,EQ,2982.00,3009.00,2922.20,3004.30,2940.00,2933.75,2947.30,3889.65,2310.00,1033837.00,3047025205.65,70255.00
52.00,45019.00,EQ,3050.00,3050.00,2981.10,2948.85,3000.05,3004.30,3007.14,3889.65,2310.00,1170652.00,3520309784.60,76067.00
53.00,45016.00,EQ,2923.10,2963.35,2921.00,2933.70,2952.00,2948.85,2945.90,3889.65,2310.00,546110.00,1608788040.80,51684.00
54.00,45014.00,EQ,2858.50,2947.80,2850.00,2852.40,2931.00,2933.70,2912.52,3889.65,2310.00,765293.00,2228932426.10,69621.00
55.00,45013.00,EQ,2894.80,2894.80,2836.00,2885.55,2851.40,2852.40,2867.18,3889.65,2310.00,1079359.00,3094713067.05,58088.00
56.00,45012.00,EQ,2913.60,2929.00,2871.00,2909.60,2883.40,2885.55,2894.05,3889.65,2310.00,375285.00,1086094603.90,41149.00
57.00,45009.00,EQ,2925.00,2931.00,2886.65,2927.70,2900.10,2909.60,2909.31,3889.65,2310.00,542971.00,1579670716.95,47694.00
58.00,45008.00,EQ,2942.20,2950.00,2912.85,2946.55,2924.00,2927.70,2932.90,3889.65,2310.00,379191.00,1112130918.90,29605.00
59.00,45007.00,EQ,2949.50,2968.90,2931.85,2934.80,2949.00,2946.55,2949.40,3889.65,2310.00,222875.00,657347364.50,21030.00
60.00,45006.00,EQ,2966.80,2975.00,2927.00,2952.00,2935.00,2934.80,2954.28,3889.65,2310.00,490092.00,1447868338.15,52966.00
61.00,45005.00,EQ,2974.60,2989.90,2909.25,2974.60,2951.00,2952.00,2933.38,3889.65,2310.00,561183.00,1646164538.55,49801.00
62.00,45002.00,EQ,3052.00,3058.00,2942.25,3035.45,2980.00,2974.60,2980.60,3889.65,2235.80,692626.00,2064444205.40,59225.00
63.00,45001.00,EQ,3021.70,3081.00,2996.00,3006.90,3041.00,3035.45,3047.87,3889.65,2235.80,439612.00,1339878194.10,39094.00
64.00,45000.00,EQ,3044.80,3059.75,3002.00,3016.90,3005.10,3006.90,3030.56,3889.65,2235.80,288927.00,875610734.70,29860.00
65.00,44999.00,EQ,3033.40,3050.00,2985.50,3033.40,3022.00,3016.90,3016.56,3889.65,2235.80,727498.00,2194539541.00,66728.00
66.00,44998.00,EQ,3117.00,3122.95,3025.00,3116.10,3038.00,3033.40,3064.37,3889.65,2235.80,351244.00,1076340174.35,43888.00
67.00,44995.00,EQ,3134.95,3147.20,3095.15,3146.70,3121.80,3116.10,3120.44,3889.65,2159.55,362000.00,1129598599.70,51333.00
68.00,44994.00,EQ,3211.00,3219.95,3142.10,3204.40,3149.00,3146.70,3168.11,3889.65,2159.55,419727.00,1329742055.95,25716.00
69.00,44993.00,EQ,3166.00,3211.55,3150.10,3166.20,3200.00,3204.40,3187.04,3889.65,2159.55,657256.00,2094699718.00,40177.00
70.00,44991.00,EQ,3138.00,3169.10,3132.40,3127.30,3160.05,3166.20,3154.69,3889.65,2159.55,362693.00,1144183472.50,33298.00
71.00,44988.00,EQ,3141.15,3150.90,3113.85,3125.50,3128.00,3127.30,3133.16,3889.65,2159.55,337278.00,1056747602.85,44504.00
72.00,44987.00,EQ,3155.10,3158.95,3097.30,3138.80,3120.00,3125.50,3128.06,3889.65,2159.55,970565.00,3035980760.10,64836.00
73.00,44986.00,EQ,3106.00,3143.90,3086.70,3105.90,3140.50,3138.80,3113.17,3889.65,2159.55,522394.00,1626301875.20,42380.00
