,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"1,767.00","1,772.75","1,744.75","1,761.30","1,770.00","1,769.10","1,759.45","1,839.50","1,285.00","461,598","812,159,370.10","35,032"
1,19-Jun-2023,EQ,"1,789.25","1,794.55","1,754.10","1,780.75","1,765.00","1,761.30","1,771.83","1,839.50","1,285.00","539,320","955,581,182.10","21,086"
2,16-Jun-2023,EQ,"1,778.40","1,789.75","1,771.05","1,772.50","1,781.00","1,780.75","1,778.88","1,839.50","1,276.60","965,707","1,717,881,269.90","33,826"
3,15-Jun-2023,EQ,"1,789.00","1,799.90","1,760.50","1,779.35","1,773.00","1,772.50","1,781.18","1,839.50","1,276.60","962,821","1,714,954,093.90","44,810"
4,14-Jun-2023,EQ,"1,745.00","1,784.80","1,737.00","1,737.95","1,780.00","1,779.35","1,764.93","1,839.50","1,276.60","811,120","1,431,574,038.95","36,293"
5,13-Jun-2023,EQ,"1,735.00","1,747.00","1,728.85","1,731.40","1,740.00","1,737.95","1,738.01","1,839.50","1,276.60","354,691","616,455,159.10","18,009"
6,12-Jun-2023,EQ,"1,724.40","1,735.20","1,711.05","1,715.75","1,732.00","1,731.40","1,725.77","1,839.50","1,276.60","247,579","427,263,258.15","16,698"
7,09-Jun-2023,EQ,"1,723.00","1,737.80","1,710.30","1,711.95","1,720.00","1,715.75","1,727.21","1,839.50","1,276.60","486,894","840,968,351.10","25,031"
8,08-Jun-2023,EQ,"1,772.00","1,776.15","1,708.95","1,769.05","1,714.85","1,711.95","1,731.03","1,839.50","1,276.60","743,218","1,286,533,206.80","33,649"
9,07-Jun-2023,EQ,"1,768.80","1,772.40","1,749.55","1,766.40","1,770.80","1,769.05","1,763.43","1,839.50","1,276.60","754,213","1,330,002,858.40","31,395"
10,06-Jun-2023,EQ,"1,739.90","1,775.00","1,737.45","1,734.50","1,764.00","1,766.40","1,761.98","1,839.50","1,276.60","1,028,018","1,811,351,439.00","37,434"
11,05-Jun-2023,EQ,"1,719.00","1,744.50","1,712.00","1,710.55","1,736.50","1,734.50","1,734.55","1,839.50","1,276.60","767,386","1,331,070,364.60","31,420"
12,02-Jun-2023,EQ,"1,708.05","1,719.00","1,700.00","1,702.45","1,709.90","1,710.55","1,706.91","1,839.50","1,276.60","578,853","988,051,059.10","26,637"
13,01-Jun-2023,EQ,"1,715.00","1,720.00","1,700.00","1,718.35","1,702.80","1,702.45","1,707.86","1,839.50","1,276.60","378,694","646,757,884.65","20,731"
14,31-May-2023,EQ,"1,723.50","1,733.50","1,696.15","1,725.15","1,700.00","1,718.35","1,719.08","1,839.50","1,276.60","1,212,477","2,084,340,934.80","31,490"
15,30-May-2023,EQ,"1,714.00","1,732.45","1,713.00","1,713.30","1,725.00","1,725.15","1,723.49","1,839.50","1,276.60","454,164","782,745,608.20","27,414"
16,29-May-2023,EQ,"1,688.30","1,715.35","1,676.10","1,688.30","1,715.00","1,713.30","1,694.39","1,839.50","1,276.60","667,890","1,131,666,578.80","23,494"
17,26-May-2023,EQ,"1,701.90","1,717.85","1,667.00","1,701.35","1,685.10","1,688.30","1,684.09","1,839.50","1,276.60","1,938,811","3,265,132,895.15","65,085"
18,25-May-2023,EQ,"1,694.95","1,711.95","1,691.00","1,700.35","1,701.50","1,701.35","1,700.02","1,839.50","1,276.60","688,926","1,171,186,459.20","27,991"
19,24-May-2023,EQ,"1,695.00","1,709.50","1,681.00","1,697.95","1,699.75","1,700.35","1,698.14","1,839.50","1,276.60","441,145","749,127,681.75","24,279"
20,23-May-2023,EQ,"1,717.00","1,720.45","1,688.00","1,718.35","1,698.00","1,697.95","1,699.20","1,839.50","1,276.60","944,523","1,604,932,379.30","32,345"
21,22-May-2023,EQ,"1,713.10","1,726.90","1,704.90","1,716.10","1,718.95","1,718.35","1,716.02","1,839.50","1,276.60","262,819","451,001,653.30","17,949"
