,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"2,775.00","2,809.60","2,745.05","2,782.60","2,803.50","2,800.70","2,777.32","3,026.00","2,246.00","872,568","2,423,399,803.25","54,270"
1,19-Jun-2023,EQ,"2,820.00","2,827.70","2,777.05","2,832.05","2,782.55","2,782.60","2,793.31","3,026.00","2,246.00","671,364","1,875,327,169.15","65,015"
2,16-Jun-2023,EQ,"2,843.00","2,844.90","2,805.00","2,843.05","2,835.00","2,832.05","2,826.91","3,026.00","2,246.00","1,029,235","2,909,550,719.20","80,966"
3,15-Jun-2023,EQ,"2,939.90","2,961.40","2,810.00","2,931.60","2,826.65","2,843.05","2,880.70","3,026.00","2,246.00","951,322","2,740,475,549.05","63,998"
4,14-Jun-2023,EQ,"2,952.45","2,967.55","2,923.65","2,952.45","2,928.00","2,931.60","2,936.28","3,026.00","2,246.00","304,861","895,156,378.45","25,942"
5,13-Jun-2023,EQ,"2,917.00","2,955.90","2,904.05","2,930.40","2,951.00","2,952.45","2,936.23","3,026.00","2,246.00","973,087","2,857,203,989.70","54,656"
6,12-Jun-2023,EQ,"2,906.30","2,938.25","2,878.10","2,899.30","2,925.00","2,930.40","2,916.44","3,026.00","2,246.00","617,327","1,800,396,082.30","34,519"
7,09-Jun-2023,EQ,"2,987.90","3,025.00","2,887.30","2,964.80","2,900.00","2,899.30","2,949.31","3,026.00","2,246.00","826,404","2,437,321,012.25","51,952"
8,08-Jun-2023,EQ,"2,977.55","3,026.00","2,948.20","2,958.00","2,966.95","2,964.80","2,989.22","3,026.00","2,246.00","1,150,017","3,437,652,042.05","78,125"
9,07-Jun-2023,EQ,"2,917.95","2,979.00","2,907.10","2,904.80","2,959.00","2,958.00","2,951.71","2,979.00","2,246.00","996,180","2,940,435,043.95","65,187"
10,06-Jun-2023,EQ,"2,870.00","2,912.00","2,860.95","2,870.60","2,910.70","2,904.80","2,899.46","2,938.60","2,246.00","729,992","2,116,580,897.15","46,827"
11,05-Jun-2023,EQ,"2,910.05","2,919.80","2,865.00","2,892.65","2,865.00","2,870.60","2,887.77","2,938.60","2,246.00","620,625","1,792,220,873.05","32,479"
12,02-Jun-2023,EQ,"2,836.00","2,912.65","2,836.00","2,800.40","2,887.00","2,892.65","2,880.60","2,938.60","2,246.00","2,090,599","6,022,172,448.90","105,609"
13,01-Jun-2023,EQ,"2,758.85","2,812.65","2,746.85","2,759.90","2,802.00","2,800.40","2,794.65","2,938.60","2,246.00","552,629","1,544,404,746.40","47,977"
14,31-May-2023,EQ,"2,779.05","2,787.00","2,739.05","2,779.15","2,760.90","2,759.90","2,761.72","2,938.60","2,246.00","773,286","2,135,596,503.55","30,663"
15,30-May-2023,EQ,"2,776.85","2,795.00","2,760.20","2,776.90","2,772.40","2,779.15","2,778.70","2,938.60","2,246.00","399,817","1,110,969,990.75","33,048"
16,29-May-2023,EQ,"2,760.00","2,794.80","2,736.05","2,745.15","2,768.55","2,776.90","2,766.70","2,938.60","2,246.00","462,628","1,279,952,274.05","25,263"
17,26-May-2023,EQ,"2,734.45","2,749.90","2,713.60","2,732.80","2,744.90","2,745.15","2,739.70","2,938.60","2,246.00","167,210","458,105,587.85","14,552"
18,25-May-2023,EQ,"2,738.95","2,759.00","2,709.05","2,738.70","2,734.50","2,732.80","2,734.04","2,938.60","2,246.00","208,718","570,642,413.90","19,610"
19,24-May-2023,EQ,"2,711.00","2,744.75","2,706.00","2,710.45","2,735.05","2,738.70","2,731.10","2,938.60","2,246.00","402,069","1,098,091,786.95","26,747"
20,23-May-2023,EQ,"2,692.15","2,718.15","2,674.05","2,692.15","2,713.00","2,710.45","2,699.69","2,938.60","2,246.00","224,454","605,956,619.70","19,975"
21,22-May-2023,EQ,"2,710.55","2,722.00","2,681.10","2,713.00","2,691.00","2,692.15","2,698.71","2,938.60","2,246.00","241,924","652,882,046.45","24,844"
22,19-May-2023,EQ,"2,740.65","2,744.05","2,667.20","2,735.15","2,712.65","2,713.00","2,706.25","2,938.60","2,246.00","458,137","1,239,834,205.15","32,857"
23,18-May-2023,EQ,"2,745.05","2,759.15","2,724.25","2,722.95","2,724.25","2,735.15","2,744.21","2,938.60","2,246.00","610,410","1,675,095,654.85","30,936"
24,17-May-2023,EQ,"2,688.95","2,766.40","2,682.40","2,686.00","2,722.00","2,722.95","2,726.66","2,938.60","2,246.00","1,169,727","3,189,446,459.70","77,261"
25,16-May-2023,EQ,"2,699.95","2,717.55","2,680.55","2,691.90","2,689.00","2,686.00","2,699.43","2,938.60","2,246.00","602,177","1,625,534,070.00","33,866"
