,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"1,295.00","1,315.40","1,285.20","1,301.40","1,295.45","1,298.40","1,292.27","1,342.90",763.2,"2,102,065","2,716,444,913.55","79,993"
1,19-Jun-2023,EQ,"1,310.00","1,317.25","1,290.60","1,314.00","1,298.65","1,301.40","1,301.00","1,342.90",763.2,"2,679,485","3,486,003,207.00","81,412"
2,16-Jun-2023,EQ,"1,297.10","1,318.60","1,294.55","1,297.10","1,310.90","1,314.00","1,305.56","1,342.90",763.2,"3,508,045","4,579,960,197.90","75,873"
3,15-Jun-2023,EQ,"1,315.00","1,319.95","1,288.50","1,323.25","1,298.90","1,297.10","1,299.30","1,342.90",763.2,"5,952,095","7,733,549,373.70","146,003"
4,14-Jun-2023,EQ,"1,335.05","1,336.25","1,318.20","1,336.25","1,322.15","1,323.25","1,326.26","1,342.90",763.2,"2,858,453","3,791,059,291.80","79,630"
5,13-Jun-2023,EQ,"1,336.00","1,342.90","1,332.35","1,332.45","1,333.00","1,336.25","1,338.47","1,342.90",763.2,"3,756,073","5,027,392,373.35","75,840"
6,12-Jun-2023,EQ,"1,336.95","1,336.95","1,318.60","1,331.05","1,332.50","1,332.45","1,328.13","1,336.95",763.2,"1,904,622","2,529,593,077.00","54,120"
7,09-Jun-2023,EQ,"1,299.00","1,336.40","1,298.40","1,303.85","1,330.30","1,331.05","1,329.46","1,336.40",763.2,"4,233,651","5,628,480,343.45","102,301"
8,08-Jun-2023,EQ,"1,316.45","1,323.90","1,300.00","1,311.20","1,304.00","1,303.85","1,312.54","1,323.90",763.2,"3,215,312","4,220,212,847.35","87,663"
9,07-Jun-2023,EQ,"1,309.95","1,312.75","1,303.20","1,306.00","1,311.00","1,311.20","1,309.41","1,315.90",763.2,"2,679,118","3,508,053,213.45","81,289"
10,06-Jun-2023,EQ,"1,302.00","1,315.90","1,300.00","1,301.80","1,303.50","1,306.00","1,309.04","1,315.90",763.2,"2,902,701","3,799,748,292.75","72,579"
11,05-Jun-2023,EQ,"1,295.00","1,306.45","1,282.65","1,288.20","1,300.15","1,301.80","1,297.53","1,306.45",763.2,"3,040,374","3,944,971,615.70","99,734"
12,02-Jun-2023,EQ,"1,282.40","1,292.95","1,271.00","1,290.15","1,284.00","1,288.20","1,285.01","1,298.00",763.2,"1,912,458","2,457,534,728.85","75,733"
13,01-Jun-2023,EQ,"1,280.00","1,298.00","1,251.50","1,286.60","1,291.00","1,290.15","1,287.32","1,298.00",763.2,"3,244,947","4,177,275,793.15","77,821"
14,31-May-2023,EQ,"1,289.00","1,297.40","1,277.25","1,293.25","1,283.15","1,286.60","1,286.91","1,297.40",763.2,"2,764,078","3,557,120,741.70","73,327"
15,30-May-2023,EQ,"1,284.95","1,296.15","1,276.40","1,284.95","1,293.00","1,293.25","1,287.90","1,296.15",763.2,"1,818,000","2,341,404,733.65","59,345"
16,29-May-2023,EQ,"1,272.20","1,295.00","1,272.00","1,268.05","1,283.35","1,284.95","1,288.68","1,295.00",763.2,"2,985,334","3,847,150,313.60","109,784"
17,26-May-2023,EQ,"1,256.45","1,272.45","1,255.90","1,263.40","1,266.15","1,268.05","1,264.83","1,275.90",763.2,"1,981,580","2,506,365,018.85","46,749"
18,25-May-2023,EQ,"1,268.95","1,271.90","1,249.70","1,271.75","1,260.10","1,263.40","1,260.46","1,275.90",763.2,"2,589,092","3,263,446,864.80","70,216"
19,24-May-2023,EQ,"1,255.00","1,275.90","1,247.65","1,260.20","1,273.50","1,271.75","1,262.55","1,275.90",763.2,"2,782,379","3,512,890,511.25","62,090"
20,23-May-2023,EQ,"1,246.00","1,266.90","1,245.00","1,246.15","1,258.80","1,260.20","1,259.85","1,275.80",763.2,"2,142,459","2,699,176,116.35","54,383"
21,22-May-2023,EQ,"1,247.00","1,251.00","1,232.50","1,248.00","1,245.00","1,246.15","1,241.94","1,275.80",763.2,"2,106,351","2,615,952,418.45","72,535"
22,19-May-2023,EQ,"1,243.00","1,251.00","1,221.60","1,238.90","1,247.60","1,248.00","1,234.84","1,275.80",763.2,"2,366,675","2,922,475,581.60","73,155"
