,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,454.8,454.8,450.15,453.6,453.2,452.85,451.91,455.9,261.35,"4,472,119","2,020,975,859.75","84,850"
1,19-Jun-2023,EQ,454.75,455.9,452.25,453.1,453.75,453.6,454.31,455.9,261.35,"4,189,180","1,903,187,370.95","67,433"
2,16-Jun-2023,EQ,449.0,455.6,447.9,448.1,453.5,453.1,452.71,455.6,258.55,"11,729,681","5,310,177,400.75","129,067"
3,15-Jun-2023,EQ,445.0,448.75,444.75,444.5,448.0,448.1,447.49,452.0,258.55,"7,498,727","3,355,607,683.80","121,812"
4,14-Jun-2023,EQ,446.25,447.75,443.75,445.4,444.85,444.5,446.09,452.0,258.55,"8,704,178","3,882,846,562.00","136,087"
5,13-Jun-2023,EQ,441.0,446.4,438.3,436.95,445.9,445.4,444.37,452.0,258.55,"16,111,860","7,159,622,903.40","154,723"
6,12-Jun-2023,EQ,440.0,440.95,433.85,438.45,437.5,436.95,436.47,452.0,258.55,"8,719,176","3,805,701,631.45","134,260"
7,09-Jun-2023,EQ,435.15,444.7,435.15,442.9,438.95,438.45,440.39,452.0,258.55,"7,057,843","3,108,236,555.30","132,621"
8,08-Jun-2023,EQ,445.7,445.75,441.9,443.95,443.1,442.9,443.56,452.0,258.55,"7,024,424","3,115,723,109.80","104,805"
9,07-Jun-2023,EQ,444.0,445.65,442.75,442.8,444.1,443.95,444.02,452.0,258.55,"7,543,432","3,349,431,451.45","106,303"
10,06-Jun-2023,EQ,440.8,443.6,440.4,440.65,443.45,442.8,441.92,452.0,258.55,"6,454,486","2,852,356,704.20","99,335"
11,05-Jun-2023,EQ,445.0,446.85,440.1,443.4,441.3,440.65,442.6,452.0,258.55,"7,152,179","3,165,534,777.75","114,066"
12,02-Jun-2023,EQ,440.0,444.9,439.8,439.7,442.95,443.4,442.63,452.0,258.55,"9,203,842","4,073,882,251.10","122,633"
13,01-Jun-2023,EQ,447.0,447.0,439.0,445.5,440.1,439.7,441.7,452.0,258.55,"8,803,137","3,888,310,387.15","134,912"
14,31-May-2023,EQ,449.3,452.0,442.45,449.9,446.0,445.5,446.12,452.0,258.55,"14,272,292","6,367,119,611.25","174,471"
15,30-May-2023,EQ,441.0,451.45,441.0,449.1,449.95,449.9,447.84,451.8,258.55,"18,900,002","8,464,137,340.70","156,176"
16,29-May-2023,EQ,445.0,451.8,444.1,443.6,448.95,449.1,449.07,451.8,258.55,"19,826,254","8,903,460,482.55","138,647"
17,26-May-2023,EQ,443.4,444.75,439.5,441.15,443.95,443.6,443.04,444.75,258.55,"12,995,706","5,757,573,299.45","100,502"
18,25-May-2023,EQ,436.95,442.45,434.8,433.5,441.75,441.15,439.95,442.45,258.55,"18,204,464","8,009,108,087.90","149,170"
19,24-May-2023,EQ,428.3,434.75,427.0,429.15,434.0,433.5,431.98,434.75,258.55,"11,479,706","4,958,994,968.35","109,453"
20,23-May-2023,EQ,426.0,431.2,424.2,424.75,429.4,429.15,428.95,433.45,258.55,"8,732,608","3,745,834,140.90","95,039"
21,22-May-2023,EQ,421.95,425.75,419.1,419.85,425.1,424.75,423.44,433.45,258.55,"15,421,680","6,530,106,829.00","114,656"
22,19-May-2023,EQ,420.95,423.1,411.35,419.7,420.1,419.85,417.72,433.45,253.0,"25,767,521","10,763,594,935.00","252,667"
23,18-May-2023,EQ,430.0,432.45,418.1,427.6,418.85,419.7,423.56,433.45,253.0,"23,995,166","10,163,297,449.60","192,911"
24,17-May-2023,EQ,424.15,428.95,422.6,423.95,428.05,427.6,425.56,433.45,253.0,"9,479,691","4,034,211,521.55","115,983"
25,16-May-2023,EQ,430.0,430.0,423.5,427.8,424.45,423.95,425.66,433.45,253.0,"7,994,197","3,402,844,838.50","167,923"
26,15-May-2023,EQ,420.0,428.7,419.05,420.45,428.4,427.8,425.33,433.45,253.0,"9,151,102","3,892,210,377.75","142,351"
27,12-May-2023,EQ,420.4,422.7,416.05,420.4,420.15,420.45,419.6,433.45,249.15,"11,135,894","4,672,569,928.70","127,862"
28,11-May-2023,EQ,427.25,427.4,418.9,425.35,421.25,420.4,422.51,433.45,249.15,"15,982,423","6,752,691,707.75","146,138"
29,10-May-2023,EQ,423.95,426.35,422.2,423.8,424.6,425.35,424.44,433.45,249.15,"9,754,485","4,140,236,476.55","115,461"
30,09-May-2023,EQ,432.8,433.15,421.5,431.45,424.1,423.8,426.09,433.45,249.15,"9,992,962","4,257,875,074.60","192,266"
31,08-May-2023,EQ,431.0,433.45,429.35,428.75,432.1,431.45,431.27,433.45,249.15,"7,243,636","3,123,994,202.10","110,800"
32,05-May-2023,EQ,425.95,431.9,424.35,424.6,429.3,428.75,427.76,431.9,249.15,"12,412,416","5,309,505,691.45","136,979"
33,04-May-2023,EQ,425.3,427.0,424.0,427.15,424.15,424.6,424.93,428.5,249.15,"7,984,933","3,393,021,577.85","141,346"
34,03-May-2023,EQ,424.0,428.5,422.05,424.45,426.95,427.15,426.65,428.5,249.15,"7,325,483","3,125,437,667.60","136,925"
35,02-May-2023,EQ,426.0,427.0,421.2,425.55,424.8,424.45,424.29,428.25,249.15,"10,253,527","4,350,456,302.45","235,796"
36,28-Apr-2023,EQ,418.0,428.25,413.7,416.0,426.2,425.55,421.32,428.25,249.15,"12,718,721","5,358,687,978.10","125,288"
37,27-Apr-2023,EQ,412.2,417.4,411.0,412.25,416.0,416.0,415.6,417.4,249.15,"12,614,263","5,242,441,962.80","127,117"
38,26-Apr-2023,EQ,412.0,413.0,409.05,411.55,411.75,412.25,411.37,413.55,249.15,"7,620,723","3,134,904,442.90","138,179"
39,25-Apr-2023,EQ,408.7,413.55,407.4,408.7,411.25,411.55,411.47,413.55,249.15,"8,840,188","3,637,439,819.45","121,252"
40,24-Apr-2023,EQ,410.0,410.0,404.2,408.25,408.3,408.7,406.76,410.0,249.15,"5,981,760","2,433,134,566.40","104,586"
41,21-Apr-2023,EQ,400.3,409.0,399.05,400.3,408.0,408.25,405.7,409.0,249.15,"14,252,204","5,782,074,755.15","143,707"
42,20-Apr-2023,EQ,400.0,402.65,397.7,398.75,400.3,400.3,400.07,402.65,249.15,"6,667,781","2,667,594,588.70","85,369"
43,19-Apr-2023,EQ,396.05,401.35,396.0,398.5,398.2,398.75,399.22,402.0,249.15,"9,744,202","3,890,059,257.20","116,016"
44,18-Apr-2023,EQ,400.0,402.0,397.0,400.15,398.5,398.5,399.47,402.0,249.15,"9,494,641","3,792,811,716.30","101,699"
45,17-Apr-2023,EQ,392.9,402.0,392.9,395.6,399.9,400.15,399.65,402.0,249.15,"11,041,243","4,412,651,379.85","133,940"
46,13-Apr-2023,EQ,395.5,396.6,393.7,393.55,395.7,395.6,395.36,398.1,249.15,"6,059,044","2,395,487,558.30","101,183"
47,12-Apr-2023,EQ,397.75,397.8,392.1,396.0,393.95,393.55,393.94,398.1,249.15,"9,747,526","3,839,976,788.65","153,023"
48,11-Apr-2023,EQ,388.55,398.1,388.0,388.55,396.0,396.0,394.8,398.1,249.15,"18,237,451","7,200,071,922.80","171,305"
49,10-Apr-2023,EQ,387.35,390.0,384.75,387.35,388.0,388.55,388.13,394.0,249.15,"6,783,022","2,632,713,042.55","110,021"
50,06-Apr-2023,EQ,386.65,390.3,384.2,386.4,387.5,387.35,386.84,394.0,249.15,"12,897,667","4,989,335,495.80","132,193"
51,05-Apr-2023,EQ,378.9,387.05,378.9,378.9,387.0,386.4,384.85,394.0,249.15,"11,608,424","4,467,559,164.15","108,671"
52,03-Apr-2023,EQ,384.0,384.0,378.5,383.5,379.2,378.9,380.29,394.0,249.15,"7,059,200","2,684,575,844.10","99,525"
53,31-Mar-2023,EQ,382.0,384.5,380.0,382.75,383.2,383.5,382.81,394.0,248.65,"9,511,189","3,640,946,510.30","167,654"
54,29-Mar-2023,EQ,380.2,384.0,377.15,379.75,383.05,382.75,381.12,394.0,248.65,"10,160,322","3,872,300,673.45","120,617"
55,28-Mar-2023,EQ,380.2,382.35,378.15,380.2,379.75,379.75,379.78,394.0,248.65,"9,170,535","3,482,749,738.70","115,524"
56,27-Mar-2023,EQ,377.95,384.4,376.35,378.7,380.0,380.2,381.06,394.0,248.65,"10,816,352","4,121,729,105.80","103,476"
57,24-Mar-2023,EQ,381.5,383.0,378.0,380.65,378.9,378.7,381.12,394.0,243.55,"9,934,501","3,786,219,400.85","81,630"
58,23-Mar-2023,EQ,377.0,382.75,374.4,377.75,380.2,380.65,380.24,394.0,243.55,"9,752,326","3,708,199,289.55","118,607"
59,22-Mar-2023,EQ,376.95,378.85,374.2,376.95,378.25,377.75,376.67,394.0,243.55,"4,774,867","1,798,564,206.45","73,043"
60,21-Mar-2023,EQ,378.8,378.8,374.05,378.8,377.0,376.95,376.2,394.0,243.55,"11,610,832","4,367,965,152.40","161,927"
61,20-Mar-2023,EQ,373.3,379.35,372.0,375.55,378.75,378.8,375.53,394.0,243.55,"10,122,167","3,801,155,257.85","128,572"
62,17-Mar-2023,EQ,385.0,385.0,369.65,381.45,376.45,375.55,373.83,394.0,235.3,"48,904,254","18,281,954,282.65","243,657"
63,16-Mar-2023,EQ,380.6,382.35,376.85,379.4,381.5,381.45,379.89,394.0,235.3,"15,710,094","5,968,094,056.95","148,108"
64,15-Mar-2023,EQ,381.0,384.3,378.0,379.7,379.15,379.4,380.73,394.0,235.3,"8,423,692","3,207,142,014.80","108,040"
65,14-Mar-2023,EQ,385.7,386.45,377.2,383.65,380.25,379.7,381.62,394.0,235.3,"10,229,766","3,903,872,457.50","122,468"
66,13-Mar-2023,EQ,389.2,390.9,382.5,388.0,386.05,383.65,385.1,394.0,235.3,"8,791,872","3,385,766,737.20","104,232"
67,10-Mar-2023,EQ,386.95,390.2,383.5,387.5,388.2,388.0,387.99,394.0,220.1,"8,362,265","3,244,441,247.70","101,617"
68,09-Mar-2023,EQ,392.1,393.6,385.65,392.4,387.0,387.5,387.94,394.0,220.1,"9,634,283","3,737,536,340.00","99,411"
69,08-Mar-2023,EQ,388.0,393.15,385.1,388.15,392.0,392.4,390.02,394.0,220.1,"8,917,699","3,478,115,878.25","138,776"
70,06-Mar-2023,EQ,385.9,392.5,385.25,384.95,388.5,388.15,388.76,394.0,220.1,"10,714,339","4,165,330,469.40","130,438"
71,03-Mar-2023,EQ,377.0,385.4,376.1,375.55,385.3,384.95,382.31,394.0,210.8,"8,180,709","3,127,554,879.70","116,737"
72,02-Mar-2023,EQ,379.5,379.75,374.7,378.7,375.85,375.55,376.22,394.0,210.8,"5,019,603","1,888,498,850.45","98,330"
73,01-Mar-2023,EQ,374.25,380.4,373.6,376.7,378.6,378.7,378.58,394.0,210.8,"7,766,667","2,940,311,888.95","114,616"
74,28-Feb-2023,EQ,382.5,384.25,375.0,382.2,376.5,376.7,377.55,394.0,210.8,"16,367,477","6,179,566,021.75","161,521"
75,27-Feb-2023,EQ,385.1,386.8,378.1,385.1,382.2,382.2,381.68,394.0,210.8,"8,142,319","3,107,756,123.45","122,227"
76,24-Feb-2023,EQ,389.0,389.0,381.0,387.6,385.25,385.1,384.56,394.0,207.0,"12,910,220","4,964,754,019.45","118,753"
77,23-Feb-2023,EQ,384.45,394.0,383.1,383.85,387.4,387.6,389.74,394.0,207.0,"18,830,592","7,339,108,176.85","218,500"
78,22-Feb-2023,EQ,382.0,384.9,380.0,382.25,384.15,383.85,383.28,388.2,207.0,"8,961,077","3,434,625,178.35","99,507"
79,21-Feb-2023,EQ,385.0,385.9,381.7,384.05,383.0,382.25,384.08,388.2,207.0,"8,259,574","3,172,325,586.55","88,576"
80,20-Feb-2023,EQ,384.7,387.5,381.3,383.4,383.9,384.05,384.12,388.2,207.0,"7,804,976","2,998,018,760.35","102,345"
81,17-Feb-2023,EQ,381.05,384.55,379.25,382.55,383.3,383.4,382.91,388.2,207.0,"7,672,135","2,937,749,082.60","93,699"
82,16-Feb-2023,EQ,382.0,385.25,381.0,382.2,382.0,382.55,383.66,388.2,207.0,"9,775,280","3,750,425,749.60","119,906"
83,15-Feb-2023,EQ,381.75,382.85,378.55,386.45,382.1,382.2,380.58,388.2,207.0,"12,209,350","4,646,631,940.25","132,308"
84,14-Feb-2023,EQ,375.0,387.65,373.75,374.2,385.95,386.45,383.62,388.2,207.0,"29,125,052","11,172,825,493.75","240,562"
85,13-Feb-2023,EQ,373.0,375.15,370.0,371.35,374.1,374.2,372.74,388.2,207.0,"9,901,148","3,690,548,355.70","110,887"
86,10-Feb-2023,EQ,372.2,376.95,370.3,374.25,371.2,371.35,372.27,388.2,207.0,"10,278,597","3,826,370,636.70","101,423"
87,09-Feb-2023,EQ,374.0,380.0,372.15,375.55,374.8,374.25,375.49,388.2,207.0,"11,861,196","4,453,808,751.90","147,407"
88,08-Feb-2023,EQ,374.75,377.3,371.55,373.25,374.55,375.55,375.12,388.2,207.0,"10,420,462","3,908,964,512.10","125,965"
89,07-Feb-2023,EQ,383.9,383.9,368.45,383.4,373.4,373.25,373.66,388.2,207.0,"20,643,707","7,713,764,922.45","296,046"
90,06-Feb-2023,EQ,382.5,388.2,379.6,380.65,383.5,383.4,384.59,388.2,207.0,"25,790,153","9,918,627,583.65","245,965"
91,03-Feb-2023,EQ,381.9,382.25,372.0,378.6,380.7,380.65,378.53,384.7,207.0,"22,295,321","8,439,463,829.40","236,606"
92,02-Feb-2023,EQ,361.6,384.7,360.4,361.4,378.8,378.6,376.87,384.7,207.0,"55,745,171","21,008,522,194.10","404,278"
93,01-Feb-2023,EQ,353.0,365.7,329.1,352.35,359.6,361.4,353.75,365.7,207.0,"64,518,967","22,823,821,017.55","497,986"
94,31-Jan-2023,EQ,346.0,355.0,341.05,344.8,352.6,352.35,348.73,361.45,207.0,"17,134,291","5,975,279,655.05","207,015"
95,30-Jan-2023,EQ,346.9,351.75,341.85,346.0,343.8,344.8,347.04,361.45,207.0,"14,091,519","4,890,259,651.00","159,810"
96,27-Jan-2023,EQ,341.8,348.85,341.5,339.25,345.5,346.0,345.5,361.45,207.0,"21,040,139","7,269,287,174.45","198,362"
97,25-Jan-2023,EQ,338.9,341.0,335.25,338.95,340.0,339.25,338.13,361.45,207.0,"12,497,542","4,225,848,770.85","115,825"
98,24-Jan-2023,EQ,337.8,340.75,337.6,337.75,338.9,338.95,339.02,361.45,207.0,"12,302,874","4,170,878,392.80","123,629"
99,23-Jan-2023,EQ,336.0,338.15,333.05,334.6,337.6,337.75,336.68,361.45,207.0,"7,124,807","2,398,812,192.75","75,270"
100,20-Jan-2023,EQ,332.0,335.2,329.25,332.15,334.45,334.6,332.68,361.45,207.0,"13,103,664","4,359,276,710.60","104,023"
101,19-Jan-2023,EQ,334.0,335.65,331.65,334.65,332.0,332.15,333.21,361.45,207.0,"8,346,130","2,781,000,519.70","103,560"
102,18-Jan-2023,EQ,334.0,336.55,332.4,332.25,335.1,334.65,334.37,361.45,207.0,"12,555,527","4,198,130,682.45","147,165"
103,17-Jan-2023,EQ,330.2,333.5,329.1,330.2,332.0,332.25,331.64,361.45,207.0,"13,712,537","4,547,671,024.50","93,294"
104,16-Jan-2023,EQ,330.35,332.2,327.55,328.75,330.2,330.2,329.11,361.45,207.0,"8,253,942","2,716,469,420.90","78,391"
105,13-Jan-2023,EQ,329.85,332.25,326.4,329.85,329.1,328.75,329.58,361.45,207.0,"14,412,671","4,750,157,893.90","120,029"
106,12-Jan-2023,EQ,333.4,333.6,328.1,331.8,329.5,329.85,329.95,361.45,207.0,"6,638,422","2,190,337,446.10","139,430"
107,11-Jan-2023,EQ,335.1,335.1,331.3,333.4,332.1,331.8,332.82,361.45,207.0,"4,584,293","1,525,745,889.65","91,438"
108,10-Jan-2023,EQ,337.9,338.4,332.55,338.05,333.7,333.4,333.83,361.45,207.0,"6,949,605","2,319,978,392.15","95,343"
109,09-Jan-2023,EQ,336.95,341.3,336.15,335.05,337.4,338.05,338.82,361.45,207.0,"10,618,786","3,597,812,675.95","147,547"
110,06-Jan-2023,EQ,334.7,337.55,333.1,333.45,335.0,335.05,335.48,361.45,207.0,"8,284,135","2,779,124,776.80","115,819"
111,05-Jan-2023,EQ,328.65,333.9,328.2,327.0,333.6,333.45,332.2,361.45,207.0,"8,171,437","2,714,547,327.40","134,902"
112,04-Jan-2023,EQ,331.85,332.5,326.0,331.1,326.6,327.0,327.48,361.45,207.0,"6,689,769","2,190,748,946.45","155,935"
113,03-Jan-2023,EQ,331.5,333.35,330.25,332.85,331.2,331.1,331.36,361.45,207.0,"5,997,051","1,987,185,279.40","103,134"
114,02-Jan-2023,EQ,330.9,334.0,329.65,331.55,332.8,332.85,332.25,361.45,207.0,"5,951,893","1,977,534,074.25","139,495"
115,30-Dec-2022,EQ,335.4,336.75,330.5,335.35,331.0,331.55,333.91,361.45,207.0,"6,960,264","2,324,123,983.35","86,886"
116,29-Dec-2022,EQ,334.35,335.75,331.55,334.4,335.45,335.35,333.6,361.45,207.0,"8,105,359","2,703,980,878.25","98,175"
117,28-Dec-2022,EQ,332.85,335.0,331.5,333.15,334.35,334.4,332.76,361.45,207.0,"7,737,562","2,574,744,214.30","114,100"
118,27-Dec-2022,EQ,335.6,336.4,330.15,334.6,333.05,333.15,333.36,361.45,207.0,"6,727,343","2,242,627,265.30","122,372"
119,26-Dec-2022,EQ,326.5,335.1,325.5,326.7,334.6,334.6,332.83,361.45,207.0,"9,566,210","3,183,941,256.40","183,864"
120,23-Dec-2022,EQ,330.9,331.9,325.35,332.45,326.05,326.7,327.9,361.45,207.0,"10,073,884","3,303,219,426.20","187,134"
121,22-Dec-2022,EQ,335.65,337.4,329.9,335.15,332.8,332.45,332.77,361.45,207.0,"6,584,445","2,191,082,235.30","101,460"
122,21-Dec-2022,EQ,341.0,341.25,334.5,340.15,335.7,335.15,336.78,361.45,207.0,"7,045,201","2,372,658,454.35","127,807"
123,20-Dec-2022,EQ,340.05,340.95,336.75,340.5,339.9,340.15,338.61,361.45,207.0,"5,482,218","1,856,320,822.20","80,370"
124,19-Dec-2022,EQ,336.8,342.35,335.35,335.1,340.05,340.5,339.82,361.45,207.0,"7,812,801","2,654,927,435.70","110,172"
125,16-Dec-2022,EQ,337.5,338.9,331.3,338.85,335.75,335.1,334.49,361.45,207.0,"12,429,280","4,157,423,586.75","207,367"
126,15-Dec-2022,EQ,344.75,346.1,338.0,345.4,338.7,338.85,341.22,361.45,207.0,"8,154,931","2,782,665,991.55","112,979"
127,14-Dec-2022,EQ,346.0,347.35,343.75,345.6,345.1,345.4,345.47,361.45,207.0,"7,379,878","2,549,557,384.50","128,069"
