,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"1,402.60","1,409.90","1,380.70","1,402.55","1,397.65","1,396.45","1,389.88","1,422.80",972.65,"1,042,428","1,448,848,860.75","75,030"
1,19-Jun-2023,EQ,"1,409.50","1,415.35","1,396.00","1,403.85","1,400.50","1,402.55","1,406.43","1,422.80",972.65,"1,476,764","2,076,959,980.90","50,352"
2,16-Jun-2023,EQ,"1,399.00","1,409.80","1,393.40","1,392.75","1,406.00","1,403.85","1,403.03","1,422.80",972.65,"2,132,678","2,992,214,928.45","83,278"
3,15-Jun-2023,EQ,"1,381.80","1,407.20","1,371.50","1,378.65","1,393.05","1,392.75","1,393.96","1,422.80",972.65,"1,720,070","2,397,714,144.80","69,075"
4,14-Jun-2023,EQ,"1,374.00","1,381.00","1,366.00","1,373.15","1,378.15","1,378.65","1,376.09","1,422.80",972.65,"905,086","1,245,481,508.85","39,756"
5,13-Jun-2023,EQ,"1,383.15","1,388.50","1,368.20","1,381.40","1,374.20","1,373.15","1,374.16","1,422.80",972.65,"2,516,583","3,458,194,422.90","88,930"
6,12-Jun-2023,EQ,"1,377.90","1,384.80","1,369.30","1,370.65","1,384.00","1,381.40","1,377.34","1,422.80",972.65,"1,389,300","1,913,542,866.75","87,121"
7,09-Jun-2023,EQ,"1,380.75","1,387.00","1,363.00","1,381.05","1,371.85","1,370.65","1,369.64","1,422.80",972.65,"1,881,329","2,576,741,282.00","77,964"
8,08-Jun-2023,EQ,"1,412.70","1,415.55","1,377.50","1,406.40","1,379.95","1,381.05","1,390.27","1,422.80",972.65,"1,776,230","2,469,433,713.70","58,863"
9,07-Jun-2023,EQ,"1,422.80","1,422.80","1,395.00","1,411.20","1,409.00","1,406.40","1,405.42","1,422.80",972.65,"2,491,079","3,501,008,994.00","85,909"
10,06-Jun-2023,EQ,"1,395.40","1,414.90","1,388.05","1,395.40","1,410.10","1,411.20","1,404.61","1,414.90",972.65,"2,335,838","3,280,949,721.20","148,600"
11,05-Jun-2023,EQ,"1,349.80","1,401.00","1,346.35","1,341.40","1,394.95","1,395.40","1,382.09","1,401.00",972.65,"5,105,293","7,055,993,111.65","222,575"
12,02-Jun-2023,EQ,"1,324.85","1,345.00","1,320.30","1,318.90","1,343.00","1,341.40","1,333.58","1,397.00",957.05,"2,313,841","3,085,684,622.00","119,337"
13,01-Jun-2023,EQ,"1,319.00","1,337.70","1,312.80","1,319.00","1,319.80","1,318.90","1,324.42","1,397.00",957.05,"2,364,455","3,131,520,548.20","161,465"
14,31-May-2023,EQ,"1,325.00","1,328.25","1,303.25","1,328.45","1,316.20","1,319.00","1,318.27","1,397.00",957.05,"5,629,378","7,421,049,375.10","136,284"
15,30-May-2023,EQ,"1,329.95","1,335.30","1,320.00","1,330.15","1,327.05","1,328.45","1,330.40","1,397.00",957.05,"2,493,657","3,317,565,304.05","102,790"
16,29-May-2023,EQ,"1,321.50","1,350.00","1,298.00","1,281.85","1,325.05","1,330.15","1,329.30","1,397.00",957.05,"6,185,862","8,222,850,122.70","267,574"
17,26-May-2023,EQ,"1,290.00","1,292.80","1,268.35","1,277.80","1,277.00","1,281.85","1,283.55","1,397.00",910.25,"3,508,112","4,502,827,826.00","97,532"
18,25-May-2023,EQ,"1,280.00","1,280.80","1,257.55","1,275.70","1,279.35","1,277.80","1,268.92","1,397.00",910.25,"2,040,166","2,588,799,776.75","88,205"
19,24-May-2023,EQ,"1,260.00","1,278.00","1,254.50","1,268.55","1,277.10","1,275.70","1,268.82","1,397.00",910.25,"1,369,297","1,737,394,061.30","51,832"
20,23-May-2023,EQ,"1,265.55","1,270.75","1,256.55","1,265.55","1,268.00","1,268.55","1,265.72","1,397.00",910.25,"1,803,955","2,283,309,711.00","63,990"
21,22-May-2023,EQ,"1,259.25","1,269.45","1,251.30","1,260.40","1,265.00","1,265.55","1,264.15","1,397.00",910.25,"917,769","1,160,198,733.60","50,047"
22,19-May-2023,EQ,"1,252.90","1,262.45","1,237.45","1,245.50","1,258.00","1,260.40","1,252.59","1,397.00",880.15,"1,588,996","1,990,359,577.40","76,012"
23,18-May-2023,EQ,"1,269.95","1,269.95","1,241.25","1,263.10","1,248.80","1,245.50","1,253.56","1,397.00",880.15,"1,900,447","2,382,323,213.50","58,030"
24,17-May-2023,EQ,"1,265.00","1,271.70","1,260.70","1,262.45","1,262.00","1,263.10","1,265.63","1,397.00",880.15,"1,643,851","2,080,508,122.70","70,293"
25,16-May-2023,EQ,"1,287.00","1,291.70","1,258.85","1,285.65","1,265.00","1,262.45","1,271.96","1,397.00",880.15,"1,571,371","1,998,728,640.75","88,509"
