,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"22,794.85","22,999.95","22,720.00","22,794.85","22,950.00","22,955.55","22,870.22","23,175.25","16,537.55","68,877","1,575,231,826.05","22,757"
1,19-Jun-2023,EQ,"23,025.00","23,150.00","22,761.25","22,968.55","22,799.00","22,794.85","22,925.78","23,175.25","16,537.55","43,331","993,396,770.30","12,651"
2,16-Jun-2023,EQ,"22,966.20","23,175.25","22,877.30","22,966.20","23,050.00","22,968.55","22,992.26","23,175.25","16,435.00","73,541","1,690,873,699.50","18,933"
3,15-Jun-2023,EQ,"22,728.75","23,000.00","22,632.50","22,728.75","22,953.70","22,966.20","22,920.09","23,000.00","16,435.00","73,757","1,690,516,754.60","19,137"
4,14-Jun-2023,EQ,"22,525.00","22,751.00","22,500.00","22,492.60","22,749.90","22,728.75","22,645.61","22,751.00","16,435.00","72,377","1,639,021,063.80","17,782"
5,13-Jun-2023,EQ,"22,349.00","22,678.00","22,292.35","22,289.35","22,498.85","22,492.60","22,526.07","22,678.00","16,435.00","83,347","1,877,479,976.70","20,258"
6,12-Jun-2023,EQ,"22,050.00","22,349.00","22,029.15","22,073.45","22,349.00","22,289.35","22,232.89","22,577.55","16,435.00","62,352","1,386,264,961.25","18,217"
7,09-Jun-2023,EQ,"22,100.90","22,280.00","22,040.90","22,148.90","22,125.00","22,073.45","22,117.54","22,577.55","16,435.00","70,915","1,568,465,022.90","16,991"
8,08-Jun-2023,EQ,"22,460.00","22,577.55","22,087.45","22,367.75","22,147.60","22,148.90","22,250.25","22,577.55","16,435.00","72,929","1,622,688,144.80","15,552"
9,07-Jun-2023,EQ,"21,749.90","22,424.75","21,749.90","21,705.40","22,355.30","22,367.75","22,264.28","22,424.75","16,435.00","156,812","3,491,305,772.20","30,498"
10,06-Jun-2023,EQ,"21,874.15","21,931.55","21,617.55","21,834.15","21,749.00","21,705.40","21,736.48","22,300.00","16,435.00","78,523","1,706,814,008.25","19,626"
11,05-Jun-2023,EQ,"21,999.05","22,129.70","21,790.00","22,046.45","21,850.00","21,834.15","21,895.96","22,300.00","16,435.00","81,509","1,784,718,197.70","20,291"
12,02-Jun-2023,EQ,"22,000.00","22,095.00","21,820.00","21,874.30","22,025.10","22,046.45","21,987.28","22,300.00","16,435.00","58,248","1,280,715,229.35","21,538"
13,01-Jun-2023,EQ,"21,786.00","21,924.95","21,572.80","21,673.10","21,820.00","21,874.30","21,828.21","22,300.00","16,435.00","59,866","1,306,767,340.90","19,406"
14,31-May-2023,EQ,"21,580.00","21,858.35","21,515.00","21,574.45","21,778.95","21,673.10","21,659.79","22,300.00","16,435.00","424,794","9,200,947,008.55","58,341"
15,30-May-2023,EQ,"21,680.00","21,728.60","21,511.05","21,729.45","21,575.00","21,574.45","21,574.73","22,300.00","16,435.00","46,981","1,013,602,475.15","19,838"
16,29-May-2023,EQ,"21,724.95","21,850.00","21,552.10","21,581.75","21,698.80","21,729.45","21,675.61","22,300.00","16,435.00","53,437","1,158,279,663.00","14,183"
17,26-May-2023,EQ,"21,484.95","21,629.00","21,370.00","21,474.90","21,600.00","21,581.75","21,507.07","22,300.00","16,435.00","63,159","1,358,365,105.05","19,604"
18,25-May-2023,EQ,"21,500.00","21,632.00","21,310.85","21,380.60","21,520.00","21,474.90","21,486.89","22,300.00","16,435.00","81,502","1,751,224,245.00","30,487"
19,24-May-2023,EQ,"21,403.70","21,498.00","21,275.00","21,403.70","21,409.00","21,380.60","21,375.30","22,300.00","16,435.00","44,364","948,293,977.95","11,193"
20,23-May-2023,EQ,"21,450.00","21,610.00","21,362.10","21,494.80","21,420.00","21,403.70","21,489.99","22,300.00","16,435.00","55,459","1,191,813,461.75","20,474"
21,22-May-2023,EQ,"21,699.00","21,699.00","21,422.10","21,690.15","21,535.10","21,494.80","21,556.18","22,300.00","16,435.00","51,095","1,101,413,234.30","16,009"
22,19-May-2023,EQ,"21,800.00","21,800.00","21,506.10","21,679.60","21,630.00","21,690.15","21,630.00","22,300.00","16,000.00","73,220","1,583,748,578.30","19,054"
23,18-May-2023,EQ,"21,850.00","21,950.00","21,650.20","21,732.50","21,675.00","21,679.60","21,771.05","22,300.00","16,000.00","51,175","1,114,133,536.80","19,196"
24,17-May-2023,EQ,"21,780.40","21,891.30","21,600.00","21,780.40","21,799.00","21,732.50","21,750.14","22,300.00","16,000.00","66,788","1,452,648,111.10","16,764"
25,16-May-2023,EQ,"21,875.00","21,989.00","21,720.00","21,786.60","21,763.50","21,780.40","21,832.29","22,300.00","16,000.00","77,257","1,686,697,331.75","23,799"
26,15-May-2023,EQ,"21,820.00","22,019.90","21,751.25","21,794.15","21,810.00","21,786.60","21,813.66","22,300.00","16,000.00","72,570","1,583,017,454.10","15,384"
27,12-May-2023,EQ,"22,019.00","22,069.40","21,740.00","22,019.80","21,780.05","21,794.15","21,909.67","22,300.00","16,000.00","66,961","1,467,093,102.30","13,860"
28,11-May-2023,EQ,"22,099.00","22,235.00","21,950.30","22,050.00","22,100.00","22,019.80","22,030.57","22,300.00","16,000.00","68,937","1,518,721,211.85","21,854"
29,10-May-2023,EQ,"21,971.35","22,129.90","21,969.50","21,971.35","22,020.00","22,050.00","22,057.76","22,300.00","16,000.00","60,441","1,333,193,007.20","14,940"
30,09-May-2023,EQ,"22,000.00","22,144.95","21,846.70","21,983.25","21,914.00","21,971.35","21,999.05","22,300.00","16,000.00","43,287","952,272,906.40","14,167"
