,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0.00,45097.00,EQ,157.55,157.80,156.55,157.80,157.00,157.25,157.09,169.00,119.85,6059738.00,951937634.80,66881.00
1.00,45096.00,EQ,157.90,158.45,156.50,157.00,157.60,157.80,157.70,169.00,119.85,4718221.00,744071215.35,44851.00
2.00,45093.00,EQ,158.25,158.65,156.35,157.65,157.00,157.00,157.32,169.00,119.85,11466647.00,1803918264.60,44853.00
3.00,45092.00,EQ,157.50,157.90,156.20,157.85,157.85,157.65,157.14,169.00,119.85,7426254.00,1166932525.40,56969.00
4.00,45091.00,EQ,156.10,158.40,155.85,155.65,157.60,157.85,157.18,169.00,119.85,9695952.00,1524040667.95,62655.00
5.00,45090.00,EQ,155.20,156.20,154.25,155.05,155.85,155.65,155.64,169.00,119.85,10073644.00,1567881195.60,51279.00
6.00,45089.00,EQ,154.85,155.25,152.60,154.25,155.20,155.05,154.59,169.00,119.85,11017643.00,1703167821.05,88946.00
7.00,45086.00,EQ,156.70,156.90,153.80,156.10,154.20,154.25,154.45,169.00,119.85,11764248.00,1817019388.80,51533.00
8.00,45085.00,EQ,154.50,156.65,154.20,153.85,156.30,156.10,155.98,169.00,119.85,13850599.00,2160456468.85,62921.00
9.00,45084.00,EQ,153.60,154.50,152.55,153.65,154.40,153.85,153.51,169.00,119.85,12180164.00,1869780364.25,64890.00
10.00,45083.00,EQ,155.50,155.90,153.20,155.40,153.80,153.65,153.87,169.00,119.85,8118800.00,1249277654.10,61060.00
11.00,45082.00,EQ,155.50,156.00,154.45,154.70,155.35,155.40,155.34,169.00,119.85,11850547.00,1840888093.95,61439.00
12.00,45079.00,EQ,155.00,155.00,153.40,153.65,154.70,154.70,154.16,169.00,119.85,9851058.00,1518606783.55,51881.00
13.00,45078.00,EQ,154.70,156.00,153.20,154.90,154.00,153.65,154.20,169.00,119.85,13982606.00,2156090243.30,78938.00
14.00,45077.00,EQ,159.00,159.40,150.05,158.85,153.70,154.90,155.20,169.00,119.85,83741017.00,12996588002.80,138955.00
15.00,45076.00,EQ,159.70,161.70,157.25,159.00,159.00,158.85,159.62,169.00,119.85,16117505.00,2572600526.20,82414.00
