,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,243.85,249.7,243.75,243.1,249.7,248.75,247.5,249.7,186.35,"10,069,774","2,492,299,760.45","72,383"
1,19-Jun-2023,EQ,246.45,248.3,242.4,246.45,243.9,243.1,244.08,249.6,186.35,"7,823,736","1,909,621,965.30","61,073"
2,16-Jun-2023,EQ,246.4,247.35,244.5,246.45,245.45,246.45,245.9,249.6,186.35,"7,276,771","1,789,354,240.10","47,293"
3,15-Jun-2023,EQ,246.95,246.95,243.8,246.5,246.0,246.45,245.4,249.6,186.35,"7,299,562","1,791,292,107.30","53,486"
4,14-Jun-2023,EQ,242.1,247.2,242.1,242.25,245.95,246.5,245.77,249.6,186.35,"7,723,070","1,898,083,243.30","65,388"
5,13-Jun-2023,EQ,242.0,243.45,241.45,241.65,242.6,242.25,242.36,249.6,186.35,"4,832,414","1,171,166,743.15","41,135"
6,12-Jun-2023,EQ,245.0,246.45,241.2,244.9,241.75,241.65,243.12,249.6,186.35,"6,141,682","1,493,178,147.45","63,653"
7,09-Jun-2023,EQ,243.55,245.5,241.8,241.65,244.2,244.9,243.44,249.6,186.35,"8,277,856","2,015,153,993.45","69,001"
8,08-Jun-2023,EQ,239.25,245.45,239.25,239.2,242.55,241.65,243.38,249.6,186.35,"14,475,626","3,523,138,822.10","91,747"
9,07-Jun-2023,EQ,236.7,240.05,236.15,235.3,240.0,239.2,238.54,249.6,186.35,"8,365,179","1,995,388,142.80","77,639"
10,06-Jun-2023,EQ,236.45,237.0,234.45,235.6,235.75,235.3,235.41,249.6,186.35,"5,173,953","1,218,006,657.90","42,309"
11,05-Jun-2023,EQ,236.45,238.0,234.8,234.6,235.25,235.6,236.75,249.6,186.35,"20,571,227","4,870,204,794.30","56,990"
12,02-Jun-2023,EQ,234.0,235.1,233.1,233.0,234.7,234.6,234.08,249.6,186.35,"4,963,336","1,161,801,488.25","49,076"
13,01-Jun-2023,EQ,232.95,234.1,230.05,233.85,233.1,233.0,232.69,249.6,186.35,"6,603,593","1,536,559,000.75","80,254"
14,31-May-2023,EQ,235.0,235.2,230.0,235.1,231.25,233.85,233.79,249.6,186.35,"36,078,118","8,434,650,183.20","91,015"
15,30-May-2023,EQ,235.9,235.9,233.7,234.5,234.95,235.1,234.96,249.6,186.35,"7,102,445","1,668,780,678.00","72,934"
16,29-May-2023,EQ,238.2,238.35,234.1,237.3,234.9,234.5,235.99,249.6,186.35,"10,228,723","2,413,828,690.95","68,728"
17,26-May-2023,EQ,237.85,237.9,234.8,237.95,237.0,237.3,236.35,249.6,186.35,"5,108,851","1,207,498,872.10","53,443"
18,25-May-2023,EQ,237.7,240.3,236.3,235.8,238.1,237.95,237.71,249.6,186.35,"9,377,061","2,228,994,562.70","64,462"
19,24-May-2023,EQ,237.8,237.85,234.85,234.1,236.2,235.8,235.99,249.6,186.35,"6,658,479","1,571,365,916.45","66,422"
20,23-May-2023,EQ,234.05,236.55,233.35,234.35,234.0,234.1,234.86,249.6,186.35,"9,343,921","2,194,546,821.25","89,277"
21,22-May-2023,EQ,234.7,239.0,232.65,233.7,234.2,234.35,235.1,249.6,186.35,"9,424,597","2,215,735,775.80","82,594"
22,19-May-2023,EQ,235.65,237.5,232.0,235.65,233.85,233.7,234.11,249.6,186.35,"7,553,771","1,768,385,288.90","76,447"
23,18-May-2023,EQ,241.0,241.0,234.6,238.8,235.0,235.65,236.84,249.6,186.35,"10,873,293","2,575,280,581.75","58,879"
24,17-May-2023,EQ,240.9,241.9,237.45,240.6,238.5,238.8,239.24,249.6,186.35,"8,670,697","2,074,358,857.65","57,419"
25,16-May-2023,EQ,243.55,244.55,240.0,243.25,240.05,240.6,241.04,249.6,186.35,"8,563,882","2,064,269,491.20","59,973"
26,15-May-2023,EQ,243.4,245.65,242.35,241.75,243.2,243.25,243.54,249.6,186.35,"9,140,823","2,226,160,132.35","63,950"
27,12-May-2023,EQ,248.85,249.6,241.15,248.55,242.1,241.75,244.62,249.6,186.35,"10,390,356","2,541,645,062.55","77,565"
28,11-May-2023,EQ,247.7,249.2,246.6,247.65,248.4,248.55,248.17,249.2,186.35,"9,462,545","2,348,293,658.45","89,357"
29,10-May-2023,EQ,245.15,247.95,244.6,243.4,247.45,247.65,246.55,248.35,186.35,"7,267,057","1,791,708,360.45","70,731"
30,09-May-2023,EQ,244.05,246.9,242.7,244.75,242.95,243.4,244.41,248.35,186.35,"6,875,206","1,680,364,447.25","80,369"
31,08-May-2023,EQ,241.85,246.25,241.1,241.05,244.5,244.75,244.9,248.35,186.35,"6,568,741","1,608,666,942.55","77,646"
32,05-May-2023,EQ,238.8,241.5,238.2,238.85,240.75,241.05,240.0,248.35,186.35,"2,922,331","701,354,853.40","54,760"
33,04-May-2023,EQ,239.65,240.7,234.95,239.7,238.0,238.85,237.37,248.35,186.35,"6,892,338","1,636,067,327.85","77,848"
34,03-May-2023,EQ,240.0,242.0,238.8,240.1,239.65,239.7,240.21,248.35,186.35,"3,591,913","862,818,336.25","53,500"
35,02-May-2023,EQ,238.7,241.15,238.25,237.25,239.9,240.1,239.81,248.35,186.35,"5,049,681","1,210,944,014.65","85,576"
36,28-Apr-2023,EQ,236.95,237.95,233.1,235.95,236.35,237.25,235.69,248.35,186.35,"7,939,116","1,871,137,848.85","52,736"
37,27-Apr-2023,EQ,238.0,238.3,233.5,238.3,236.4,235.95,235.69,248.35,186.35,"7,345,843","1,731,354,927.20","65,298"
38,26-Apr-2023,EQ,234.05,239.5,232.0,232.9,239.0,238.3,236.25,248.35,186.35,"10,185,764","2,406,349,471.55","80,456"
39,25-Apr-2023,EQ,231.3,233.9,230.65,231.95,233.0,232.9,232.97,248.35,186.35,"6,254,028","1,456,992,335.70","50,531"
40,24-Apr-2023,EQ,231.0,232.3,229.95,231.55,232.0,231.95,231.1,248.35,186.35,"4,293,801","992,315,457.45","45,842"
41,21-Apr-2023,EQ,231.8,232.35,229.6,230.9,231.75,231.55,230.95,248.35,186.35,"3,772,988","871,366,747.25","37,604"
42,20-Apr-2023,EQ,230.85,232.9,229.65,229.95,230.5,230.9,231.3,248.35,186.35,"5,481,563","1,267,909,521.80","66,039"
43,19-Apr-2023,EQ,229.0,231.4,228.65,230.3,230.9,229.95,230.34,248.35,186.35,"6,198,143","1,427,663,542.00","60,209"
44,18-Apr-2023,EQ,236.9,237.5,229.65,236.65,230.9,230.3,231.76,248.35,186.35,"10,112,125","2,343,606,485.10","80,892"
45,17-Apr-2023,EQ,232.6,239.9,232.3,231.2,236.2,236.65,236.87,248.35,186.35,"16,361,286","3,875,512,432.50","105,809"
46,13-Apr-2023,EQ,227.3,231.65,227.0,227.3,231.65,231.2,229.25,248.35,186.35,"8,571,466","1,965,044,499.55","52,636"
47,12-Apr-2023,EQ,231.4,231.55,227.05,231.35,227.5,227.3,228.32,248.35,186.35,"6,839,097","1,561,522,626.25","51,827"
48,11-Apr-2023,EQ,228.9,232.0,228.45,229.05,231.25,231.35,230.34,248.35,186.35,"3,829,952","882,207,265.65","48,167"
49,10-Apr-2023,EQ,225.2,229.4,225.0,225.25,228.9,229.05,228.12,248.35,186.35,"3,109,233","709,267,085.55","37,848"
50,06-Apr-2023,EQ,227.2,227.4,224.65,225.65,224.9,225.25,225.75,248.35,186.35,"3,212,157","725,148,349.65","34,193"
51,05-Apr-2023,EQ,226.6,226.6,223.7,224.6,226.0,225.65,224.92,248.35,186.35,"9,014,537","2,027,585,083.35","57,789"
52,03-Apr-2023,EQ,227.35,227.35,223.85,225.7,224.5,224.6,224.87,248.35,186.35,"5,732,411","1,289,072,337.40","62,097"
53,31-Mar-2023,EQ,224.0,226.75,223.0,222.45,225.5,225.7,225.28,248.35,186.35,"7,651,544","1,723,720,419.35","58,908"
54,29-Mar-2023,EQ,222.1,223.7,220.55,222.1,223.5,222.45,222.29,248.35,186.35,"14,807,444","3,291,537,195.35","73,688"
55,28-Mar-2023,EQ,221.25,223.1,218.7,220.1,221.85,222.1,220.97,248.35,186.35,"6,516,875","1,440,049,928.30","45,753"
56,27-Mar-2023,EQ,222.9,226.25,219.55,222.4,219.9,220.1,223.36,248.35,186.35,"14,987,800","3,347,696,296.30","47,090"
57,24-Mar-2023,EQ,223.0,224.25,220.8,222.15,222.45,222.4,222.56,248.35,186.35,"7,778,750","1,731,237,232.25","43,987"
58,23-Mar-2023,EQ,224.0,224.5,221.25,224.1,222.0,222.15,223.0,248.35,186.35,"12,818,474","2,858,581,143.85","43,985"
59,22-Mar-2023,EQ,223.0,224.7,220.8,223.15,224.05,224.1,222.67,248.35,186.35,"5,692,385","1,267,547,358.05","44,556"
60,21-Mar-2023,EQ,227.25,227.7,222.45,227.5,223.1,223.15,223.81,248.35,186.35,"8,454,591","1,892,240,143.10","63,435"
61,20-Mar-2023,EQ,225.3,229.4,225.3,229.7,227.4,227.5,227.08,248.35,186.35,"6,961,059","1,580,751,619.60","61,620"
62,17-Mar-2023,EQ,233.95,234.0,228.3,232.15,229.4,229.7,231.27,248.35,186.35,"25,283,269","5,847,370,778.65","120,170"
63,16-Mar-2023,EQ,229.45,232.9,228.35,228.3,231.8,232.15,231.47,248.35,186.35,"13,828,363","3,200,814,705.10","123,712"
64,15-Mar-2023,EQ,226.6,230.05,225.7,225.2,228.45,228.3,228.3,248.35,186.35,"9,171,052","2,093,725,846.10","124,317"
65,14-Mar-2023,EQ,225.15,227.75,224.0,226.1,225.45,225.2,225.85,248.35,186.35,"7,187,554","1,623,310,979.55","74,944"
66,13-Mar-2023,EQ,228.05,230.05,225.4,226.55,226.55,226.1,227.61,248.35,186.35,"9,907,240","2,254,995,182.00","89,340"
67,10-Mar-2023,EQ,222.25,228.15,222.25,225.8,226.65,226.55,225.93,248.35,186.35,"7,204,076","1,627,632,172.15","86,419"
68,09-Mar-2023,EQ,229.0,230.45,225.5,228.05,226.25,225.8,227.64,248.35,186.35,"10,456,240","2,380,227,290.05","56,572"
69,08-Mar-2023,EQ,226.95,228.35,225.7,227.15,227.55,228.05,227.19,248.35,186.35,"8,693,622","1,975,118,200.55","95,240"
70,06-Mar-2023,EQ,224.0,228.8,223.0,222.1,227.25,227.15,227.15,248.35,186.35,"11,744,968","2,667,855,992.10","120,152"
71,03-Mar-2023,EQ,220.4,225.45,220.4,220.35,222.25,222.1,223.68,248.35,186.35,"7,463,902","1,669,552,089.65","73,072"
72,02-Mar-2023,EQ,218.0,221.0,215.8,218.9,220.55,220.35,217.5,248.35,186.35,"59,781,419","13,002,200,151.65","91,617"
73,01-Mar-2023,EQ,221.55,222.25,217.4,222.25,218.8,218.9,218.68,248.35,186.35,"9,672,064","2,115,121,549.70","78,389"
74,28-Feb-2023,EQ,220.6,223.0,218.75,219.2,222.0,222.25,221.0,248.35,186.35,"27,419,459","6,059,614,533.15","112,318"
75,27-Feb-2023,EQ,216.45,219.95,214.55,215.05,219.7,219.2,216.33,248.35,186.35,"13,322,714","2,882,092,306.55","86,364"
76,24-Feb-2023,EQ,212.4,215.4,212.4,213.25,214.95,215.05,214.06,248.35,186.35,"7,356,623","1,574,736,970.65","42,582"
77,23-Feb-2023,EQ,215.0,215.9,212.6,214.65,213.2,213.25,213.97,248.35,186.35,"7,759,406","1,660,306,098.80","62,914"
78,22-Feb-2023,EQ,216.0,217.3,213.0,217.2,214.95,214.65,214.41,248.35,186.35,"6,846,495","1,467,962,129.70","72,069"
