,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"2,547.55","2,564.00","2,535.00","2,551.80","2,561.50","2,557.10","2,548.60","2,755.00","2,180.00","3,194,085","8,140,454,943.70","119,189"
1,19-Jun-2023,EQ,"2,584.00","2,584.00","2,542.65","2,577.40","2,550.50","2,551.80","2,555.84","2,755.00","2,180.00","3,137,532","8,019,025,286.30","130,037"
2,16-Jun-2023,EQ,"2,560.20","2,582.40","2,560.20","2,552.55","2,575.00","2,577.40","2,574.79","2,755.00","2,180.00","11,155,180","28,722,202,805.50","237,630"
3,15-Jun-2023,EQ,"2,551.80","2,562.55","2,535.50","2,551.85","2,550.15","2,552.55","2,551.63","2,755.00","2,180.00","5,451,926","13,911,315,989.45","193,503"
4,14-Jun-2023,EQ,"2,521.00","2,555.00","2,517.00","2,520.85","2,546.25","2,551.85","2,541.35","2,755.00","2,180.00","6,127,509","15,572,120,760.55","255,684"
5,13-Jun-2023,EQ,"2,495.00","2,523.45","2,486.25","2,484.15","2,517.90","2,520.85","2,509.06","2,755.00","2,180.00","5,190,958","13,024,409,119.20","179,929"
6,12-Jun-2023,EQ,"2,475.50","2,489.20","2,465.00","2,481.95","2,488.00","2,484.15","2,479.76","2,755.00","2,180.00","2,949,893","7,315,018,537.50","155,197"
7,09-Jun-2023,EQ,"2,507.00","2,508.55","2,478.00","2,499.65","2,482.00","2,481.95","2,493.99","2,814.00","2,180.00","2,712,243","6,764,300,003.70","154,585"
8,08-Jun-2023,EQ,"2,506.00","2,516.85","2,491.00","2,498.15","2,505.00","2,499.65","2,504.11","2,814.00","2,180.00","5,570,815","13,949,925,583.10","176,663"
9,07-Jun-2023,EQ,"2,487.00","2,500.00","2,472.60","2,479.35","2,498.00","2,498.15","2,487.06","2,814.00","2,180.00","4,759,238","11,836,509,766.30","187,387"
10,06-Jun-2023,EQ,"2,483.45","2,487.70","2,462.00","2,477.25","2,483.80","2,479.35","2,473.70","2,814.00","2,180.00","3,458,161","8,554,457,378.70","167,754"
11,05-Jun-2023,EQ,"2,467.20","2,483.75","2,458.45","2,455.20","2,479.95","2,477.25","2,470.14","2,814.00","2,180.00","5,034,355","12,435,536,493.30","161,758"
12,02-Jun-2023,EQ,"2,471.00","2,482.85","2,451.00","2,463.25","2,455.25","2,455.20","2,459.32","2,817.35","2,180.00","7,291,995","17,933,384,336.15","160,655"
13,01-Jun-2023,EQ,"2,480.15","2,484.90","2,458.00","2,469.90","2,467.00","2,463.25","2,472.06","2,817.35","2,180.00","6,734,525","16,648,139,919.55","216,233"
14,31-May-2023,EQ,"2,500.00","2,509.85","2,461.00","2,519.95","2,466.95","2,469.90","2,477.34","2,817.35","2,180.00","12,510,304","30,992,295,693.45","289,027"
15,30-May-2023,EQ,"2,520.60","2,537.70","2,514.35","2,520.60","2,520.55","2,519.95","2,524.94","2,817.35","2,180.00","5,234,564","13,216,961,279.00","173,212"
16,29-May-2023,EQ,"2,521.00","2,530.00","2,507.20","2,506.50","2,518.20","2,520.60","2,519.76","2,817.35","2,180.00","4,619,754","11,640,658,051.85","184,530"
17,26-May-2023,EQ,"2,458.00","2,509.00","2,450.75","2,439.95","2,508.80","2,506.50","2,489.54","2,817.35","2,180.00","5,827,017","14,506,612,501.75","197,182"
18,25-May-2023,EQ,"2,433.90","2,449.00","2,416.05","2,440.25","2,444.85","2,439.95","2,430.14","2,817.35","2,180.00","5,301,647","12,883,732,875.05","136,521"
19,24-May-2023,EQ,"2,445.90","2,464.00","2,433.45","2,454.55","2,441.00","2,440.25","2,447.77","2,817.35","2,180.00","3,743,804","9,163,984,988.70","132,191"
20,23-May-2023,EQ,"2,460.65","2,468.00","2,451.45","2,455.00","2,453.00","2,454.55","2,460.13","2,817.35","2,180.00","2,811,473","6,916,583,531.40","121,065"
