,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"1,281.85","1,306.80","1,280.50","1,280.50","1,291.45","1,295.35","1,297.06","1,340.35","1,051.55","1,474,323","1,912,292,701.70","76,541"
1,19-Jun-2023,EQ,"1,281.35","1,288.15","1,275.00","1,281.35","1,276.50","1,280.50","1,282.77","1,340.35","1,051.55","741,782","951,536,176.00","41,360"
2,16-Jun-2023,EQ,"1,241.00","1,291.95","1,236.05","1,241.10","1,281.25","1,281.35","1,276.08","1,340.35","1,051.55","2,049,003","2,614,683,367.95","71,724"
3,15-Jun-2023,EQ,"1,245.00","1,250.60","1,236.45","1,242.30","1,238.00","1,241.10","1,242.57","1,340.35","1,051.55","738,348","917,450,768.30","40,162"
4,14-Jun-2023,EQ,"1,240.10","1,254.95","1,227.65","1,243.30","1,240.00","1,242.30","1,239.09","1,340.35","1,051.55","713,768","884,420,801.30","30,546"
5,13-Jun-2023,EQ,"1,238.00","1,248.80","1,238.00","1,238.90","1,241.00","1,243.30","1,242.88","1,340.35","1,051.55","1,253,147","1,557,508,723.15","47,701"
6,12-Jun-2023,EQ,"1,242.20","1,256.30","1,234.85","1,232.40","1,236.80","1,238.90","1,245.81","1,340.35","1,051.55","1,402,903","1,747,753,898.80","57,074"
7,09-Jun-2023,EQ,"1,227.60","1,253.60","1,227.50","1,238.90","1,228.00","1,232.40","1,243.32","1,340.35","1,051.55","1,904,738","2,368,200,108.55","69,576"
8,08-Jun-2023,EQ,"1,247.70","1,254.75","1,234.05","1,245.80","1,242.00","1,238.90","1,245.45","1,340.35","1,051.55","760,962","947,736,384.75","40,444"
9,07-Jun-2023,EQ,"1,225.30","1,248.00","1,221.00","1,223.00","1,247.70","1,245.80","1,241.70","1,340.35","1,051.55","1,067,618","1,325,662,080.35","55,811"
10,06-Jun-2023,EQ,"1,219.85","1,225.00","1,210.10","1,215.40","1,224.50","1,223.00","1,218.04","1,340.35","1,051.55","793,761","966,828,683.20","30,459"
11,05-Jun-2023,EQ,"1,208.00","1,219.00","1,205.00","1,202.50","1,218.00","1,215.40","1,211.28","1,340.35","1,051.55","1,599,077","1,936,922,174.60","39,854"
12,02-Jun-2023,EQ,"1,211.80","1,216.20","1,199.25","1,207.75","1,203.50","1,202.50","1,205.99","1,340.35","1,051.55","737,046","888,866,840.40","41,604"
