,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"1,007.65","1,007.75",989.60,"1,001.80",992.60,991.95,993.94,"1,072.15",794.5,"1,445,688","1,436,923,770.45","66,648"
1,19-Jun-2023,EQ,995.15,"1,006.70",993.75,992.00,"1,000.25","1,001.80","1,001.73","1,072.15",794.5,"1,327,862","1,330,165,553.05","60,018"
2,16-Jun-2023,EQ,990.00,994.65,987.20,988.40,994.50,992.00,990.69,"1,072.15",789.9,"3,611,214","3,577,601,431.35","94,320"
3,15-Jun-2023,EQ,988.50,994.80,985.70,986.70,987.05,988.40,989.36,"1,072.15",789.9,"2,731,724","2,702,648,558.05","228,329"
4,14-Jun-2023,EQ,991.60,995.00,984.25,988.10,988.45,986.70,989.86,"1,072.15",789.9,"2,139,387","2,117,697,465.75","60,732"
5,13-Jun-2023,EQ,990.00,996.00,985.55,985.45,988.00,988.10,990.80,"1,072.15",789.9,"2,413,311","2,391,116,073.30","56,561"
6,12-Jun-2023,EQ,987.90,989.90,981.05,983.95,988.90,985.45,985.24,"1,072.15",789.9,"593,319","584,563,371.15","47,574"
7,09-Jun-2023,EQ,984.00,990.70,981.00,987.00,985.45,983.95,985.18,"1,072.15",789.9,"2,306,206","2,272,027,937.90","58,845"
8,08-Jun-2023,EQ,"1,015.00","1,016.00",983.25,"1,014.60",991.00,987.00,994.03,"1,072.15",789.9,"3,395,935","3,375,678,155.75","69,351"
9,07-Jun-2023,EQ,"1,015.00","1,017.50","1,010.00","1,013.80","1,015.00","1,014.60","1,013.66","1,072.15",789.9,"1,608,613","1,630,582,456.75","63,989"
10,06-Jun-2023,EQ,"1,008.90","1,015.95","1,004.00","1,008.75","1,010.30","1,013.80","1,011.07","1,072.15",789.9,"1,632,644","1,650,717,817.10","70,936"
11,05-Jun-2023,EQ,"1,005.35","1,017.70",998.50,999.60,"1,006.05","1,008.75","1,010.91","1,072.15",789.9,"3,629,780","3,669,377,509.35","133,862"
12,02-Jun-2023,EQ,986.55,"1,003.70",981.00,987.70,"1,001.50",999.60,994.55,"1,072.15",789.9,"3,734,815","3,714,466,000.05","113,823"
13,01-Jun-2023,EQ,979.80,990.45,975.00,975.35,986.55,987.70,983.55,"1,072.15",789.9,"3,261,906","3,208,253,096.70","74,533"
14,31-May-2023,EQ,965.00,979.30,960.75,959.60,976.00,975.35,973.98,"1,072.15",789.9,"5,595,631","5,450,034,758.05","105,928"
