,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0.00,45097.00,EQ,1402.60,1409.90,1380.70,1402.55,1397.65,1396.45,1389.88,1422.80,972.65,1042428.00,1448848860.75,75030.00
1.00,45096.00,EQ,1409.50,1415.35,1396.00,1403.85,1400.50,1402.55,1406.43,1422.80,972.65,1476764.00,2076959980.90,50352.00
2.00,45093.00,EQ,1399.00,1409.80,1393.40,1392.75,1406.00,1403.85,1403.03,1422.80,972.65,2132678.00,2992214928.45,83278.00
3.00,45092.00,EQ,1381.80,1407.20,1371.50,1378.65,1393.05,1392.75,1393.96,1422.80,972.65,1720070.00,2397714144.80,69075.00
4.00,45091.00,EQ,1374.00,1381.00,1366.00,1373.15,1378.15,1378.65,1376.09,1422.80,972.65,905086.00,1245481508.85,39756.00
5.00,45090.00,EQ,1383.15,1388.50,1368.20,1381.40,1374.20,1373.15,1374.16,1422.80,972.65,2516583.00,3458194422.90,88930.00
6.00,45089.00,EQ,1377.90,1384.80,1369.30,1370.65,1384.00,1381.40,1377.34,1422.80,972.65,1389300.00,1913542866.75,87121.00
7.00,45086.00,EQ,1380.75,1387.00,1363.00,1381.05,1371.85,1370.65,1369.64,1422.80,972.65,1881329.00,2576741282.00,77964.00
8.00,45085.00,EQ,1412.70,1415.55,1377.50,1406.40,1379.95,1381.05,1390.27,1422.80,972.65,1776230.00,2469433713.70,58863.00
9.00,45084.00,EQ,1422.80,1422.80,1395.00,1411.20,1409.00,1406.40,1405.42,1422.80,972.65,2491079.00,3501008994.00,85909.00
10.00,45083.00,EQ,1395.40,1414.90,1388.05,1395.40,1410.10,1411.20,1404.61,1414.90,972.65,2335838.00,3280949721.20,148600.00
11.00,45082.00,EQ,1349.80,1401.00,1346.35,1341.40,1394.95,1395.40,1382.09,1401.00,972.65,5105293.00,7055993111.65,222575.00
12.00,45079.00,EQ,1324.85,1345.00,1320.30,1318.90,1343.00,1341.40,1333.58,1397.00,957.05,2313841.00,3085684622.00,119337.00
13.00,45078.00,EQ,1319.00,1337.70,1312.80,1319.00,1319.80,1318.90,1324.42,1397.00,957.05,2364455.00,3131520548.20,161465.00
14.00,45077.00,EQ,1325.00,1328.25,1303.25,1328.45,1316.20,1319.00,1318.27,1397.00,957.05,5629378.00,7421049375.10,136284.00
15.00,45076.00,EQ,1329.95,1335.30,1320.00,1330.15,1327.05,1328.45,1330.40,1397.00,957.05,2493657.00,3317565304.05,102790.00
16.00,45075.00,EQ,1321.50,1350.00,1298.00,1281.85,1325.05,1330.15,1329.30,1397.00,957.05,6185862.00,8222850122.70,267574.00
17.00,45072.00,EQ,1290.00,1292.80,1268.35,1277.80,1277.00,1281.85,1283.55,1397.00,910.25,3508112.00,4502827826.00,97532.00
18.00,45071.00,EQ,1280.00,1280.80,1257.55,1275.70,1279.35,1277.80,1268.92,1397.00,910.25,2040166.00,2588799776.75,88205.00
19.00,45070.00,EQ,1260.00,1278.00,1254.50,1268.55,1277.10,1275.70,1268.82,1397.00,910.25,1369297.00,1737394061.30,51832.00
20.00,45069.00,EQ,1265.55,1270.75,1256.55,1265.55,1268.00,1268.55,1265.72,1397.00,910.25,1803955.00,2283309711.00,63990.00
21.00,45068.00,EQ,1259.25,1269.45,1251.30,1260.40,1265.00,1265.55,1264.15,1397.00,910.25,917769.00,1160198733.60,50047.00
22.00,45065.00,EQ,1252.90,1262.45,1237.45,1245.50,1258.00,1260.40,1252.59,1397.00,880.15,1588996.00,1990359577.40,76012.00
23.00,45064.00,EQ,1269.95,1269.95,1241.25,1263.10,1248.80,1245.50,1253.56,1397.00,880.15,1900447.00,2382323213.50,58030.00
24.00,45063.00,EQ,1265.00,1271.70,1260.70,1262.45,1262.00,1263.10,1265.63,1397.00,880.15,1643851.00,2080508122.70,70293.00
25.00,45062.00,EQ,1287.00,1291.70,1258.85,1285.65,1265.00,1262.45,1271.96,1397.00,880.15,1571371.00,1998728640.75,88509.00
26.00,45061.00,EQ,1279.90,1287.75,1272.60,1275.95,1287.50,1285.65,1283.33,1397.00,880.15,2647630.00,3397782400.75,88203.00
27.00,45058.00,EQ,1256.40,1278.80,1251.30,1251.30,1275.05,1275.95,1267.70,1397.00,853.70,2427624.00,3077503825.20,81774.00
28.00,45057.00,EQ,1250.00,1260.85,1244.15,1248.65,1251.05,1251.30,1251.60,1397.00,853.70,4100467.00,5132138074.80,81913.00
29.00,45056.00,EQ,1250.00,1255.80,1235.00,1245.45,1250.00,1248.65,1244.32,1397.00,853.70,2108081.00,2623126522.95,101400.00
30.00,45055.00,EQ,1239.00,1250.00,1234.05,1231.80,1244.70,1245.45,1244.17,1397.00,853.70,1846359.00,2297176570.65,96037.00
31.00,45054.00,EQ,1216.95,1239.85,1213.70,1211.20,1233.50,1231.80,1233.24,1397.00,853.70,3513667.00,4333184372.70,119692.00
32.00,45051.00,EQ,1232.80,1242.35,1208.05,1231.70,1213.00,1211.20,1220.48,1397.00,853.70,4753718.00,5801823647.55,74419.00
33.00,45050.00,EQ,1235.00,1238.05,1228.00,1235.45,1230.45,1231.70,1231.41,1397.00,853.70,1541188.00,1897827472.00,107298.00
34.00,45049.00,EQ,1237.30,1242.00,1230.10,1237.30,1235.00,1235.45,1235.35,1397.00,853.70,1307304.00,1614983470.55,51373.00
35.00,45048.00,EQ,1230.00,1240.80,1217.50,1226.90,1234.00,1237.30,1231.82,1397.00,853.70,2607580.00,3212076691.70,83747.00
36.00,45044.00,EQ,1225.00,1228.75,1211.50,1224.00,1225.10,1226.90,1222.57,1397.00,853.70,2333102.00,2852380878.35,94563.00
37.00,45043.00,EQ,1210.05,1225.00,1210.05,1213.55,1224.00,1224.00,1221.02,1397.00,853.70,1340045.00,1636225046.95,70970.00
38.00,45042.00,EQ,1212.00,1217.25,1205.30,1209.85,1215.75,1213.55,1211.52,1397.00,853.70,1708865.00,2070330615.65,82752.00
39.00,45041.00,EQ,1207.75,1215.00,1199.40,1207.75,1207.65,1209.85,1207.02,1397.00,853.70,1360260.00,1641867112.00,78457.00
40.00,45040.00,EQ,1210.40,1217.10,1196.00,1212.75,1206.90,1207.75,1204.34,1397.00,853.70,1389756.00,1673744359.05,79708.00
41.00,45037.00,EQ,1221.95,1221.95,1209.05,1218.60,1212.15,1212.75,1212.84,1397.00,853.70,1015815.00,1232023990.80,49947.00
42.00,45036.00,EQ,1218.00,1224.90,1214.55,1215.50,1215.05,1218.60,1219.80,1397.00,853.70,2172677.00,2650241378.90,64800.00
43.00,45035.00,EQ,1204.65,1217.95,1203.40,1204.70,1215.45,1215.50,1213.10,1397.00,853.70,1818732.00,2206305714.25,53648.00
44.00,45034.00,EQ,1213.00,1217.90,1202.60,1212.95,1205.40,1204.70,1207.20,1397.00,853.70,2075066.00,2505025632.40,82844.00
45.00,45033.00,EQ,1218.95,1218.95,1203.40,1204.55,1214.00,1212.95,1208.96,1397.00,853.70,1956198.00,2364960178.35,89774.00
