,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,114.1,115.25,113.5,114.1,114.5,114.25,114.53,976.70,95.0,"30,371,599","3,478,440,270.40","137,218"
1,19-Jun-2023,EQ,115.45,115.6,113.05,114.25,114.2,114.1,114.08,976.70,95.0,"33,502,185","3,822,038,084.40","140,304"
2,16-Jun-2023,EQ,114.4,114.8,113.85,113.75,114.35,114.25,114.24,"1,013.70",95.0,"31,715,807","3,623,157,859.10","119,137"
3,15-Jun-2023,EQ,113.9,114.2,113.25,113.8,113.65,113.75,113.75,"1,013.70",95.0,"39,430,138","4,485,256,302.80","148,524"
4,14-Jun-2023,EQ,111.5,114.0,111.4,111.15,113.75,113.8,113.22,"1,013.70",95.0,"66,696,433","7,551,041,425.20","245,307"
5,13-Jun-2023,EQ,110.0,111.85,109.65,109.5,111.05,111.15,110.85,"1,013.70",95.0,"30,018,212","3,327,632,939.35","129,410"
6,12-Jun-2023,EQ,109.15,110.6,109.15,108.9,109.55,109.5,109.79,"1,013.70",95.0,"23,472,313","2,577,057,322.15","129,504"
7,09-Jun-2023,EQ,111.25,111.65,108.65,111.15,109.15,108.9,109.42,"1,088.90",95.0,"36,392,617","3,982,174,835.80","160,353"
8,08-Jun-2023,EQ,111.5,113.0,110.95,111.5,111.25,111.15,111.81,"1,088.90",95.0,"46,380,294","5,185,782,963.20","163,368"
9,07-Jun-2023,EQ,109.5,111.75,108.9,109.0,111.5,111.5,110.46,"1,088.90",95.0,"45,157,197","4,987,884,439.90","172,381"
10,06-Jun-2023,EQ,109.75,109.85,108.3,109.4,109.1,109.0,108.94,"1,088.90",95.0,"26,751,372","2,914,420,221.25","123,777"
11,05-Jun-2023,EQ,108.65,109.9,107.8,108.0,109.6,109.4,108.83,"1,088.90",95.0,"39,642,539","4,314,334,583.10","143,608"
12,02-Jun-2023,EQ,106.5,108.3,106.5,105.95,108.05,108.0,107.48,"1,092.80",95.0,"46,686,933","5,017,725,667.70","138,198"
13,01-Jun-2023,EQ,105.9,106.7,105.8,105.8,106.0,105.95,106.15,"1,092.80",95.0,"21,211,538","2,251,551,758.05","94,464"
14,31-May-2023,EQ,106.4,106.95,105.6,107.05,105.85,105.8,106.14,"1,092.80",95.0,"41,249,944","4,378,251,037.75","131,061"
15,30-May-2023,EQ,108.95,108.95,106.9,108.45,106.95,107.05,107.57,"1,092.80",95.0,"33,475,211","3,600,917,274.85","134,867"
16,29-May-2023,EQ,107.0,108.85,106.3,106.4,108.35,108.45,107.92,"1,092.80",95.0,"41,062,311","4,431,534,295.90","149,388"
17,26-May-2023,EQ,105.0,106.75,104.95,104.85,106.45,106.4,105.85,"1,097.00",95.0,"28,362,042","3,002,217,896.90","106,252"
18,25-May-2023,EQ,105.0,105.2,104.3,105.2,105.0,104.85,104.66,"1,097.00",95.0,"25,885,062","2,709,050,705.20","120,182"
19,24-May-2023,EQ,105.1,105.8,104.9,105.6,105.0,105.2,105.3,"1,097.00",95.0,"28,454,367","2,996,344,304.75","113,015"
20,23-May-2023,EQ,105.1,106.05,105.0,105.0,105.6,105.6,105.58,"1,097.00",95.0,"21,304,034","2,249,349,513.10","120,258"
21,22-May-2023,EQ,105.0,105.25,104.3,104.65,105.1,105.0,104.88,"1,097.00",95.0,"21,588,716","2,264,331,112.70","146,640"
22,19-May-2023,EQ,105.6,105.7,104.05,105.2,104.7,104.65,104.56,"1,209.00",95.0,"29,848,841","3,120,908,345.85","164,196"
23,18-May-2023,EQ,106.5,107.15,105.1,106.0,105.35,105.2,105.92,"1,209.00",95.0,"24,208,481","2,564,275,088.30","153,094"
24,17-May-2023,EQ,107.4,107.5,105.55,107.4,106.05,106.0,106.26,"1,209.00",95.0,"28,895,465","3,070,486,552.55","158,469"
25,16-May-2023,EQ,108.2,108.65,107.2,107.7,107.55,107.4,107.62,"1,209.00",95.0,"18,587,658","2,000,332,266.55","95,237"
26,15-May-2023,EQ,107.05,108.2,105.65,106.75,107.65,107.7,107.17,"1,209.00",95.0,"22,148,028","2,373,507,495.90","124,207"
27,12-May-2023,EQ,108.35,108.4,106.55,108.55,106.85,106.75,107.06,"1,274.20",95.0,"36,794,838","3,939,190,769.55","152,385"
28,11-May-2023,EQ,109.2,109.5,108.25,109.25,108.65,108.55,108.8,"1,274.20",95.0,"19,817,637","2,156,137,340.30","108,331"
29,10-May-2023,EQ,109.6,110.0,108.6,109.55,109.35,109.25,109.03,"1,274.20",95.0,"19,213,215","2,094,912,629.60","102,095"
30,09-May-2023,EQ,109.6,111.2,109.15,109.55,109.65,109.55,110.22,"1,274.20",95.0,"27,999,202","3,085,964,389.15","124,913"
31,08-May-2023,EQ,109.25,109.85,108.25,108.65,109.75,109.55,109.36,"1,274.20",95.0,"23,130,472","2,529,484,680.95","100,999"
32,05-May-2023,EQ,110.85,110.85,108.4,111.05,108.7,108.65,109.25,"1,330.00",95.0,"32,958,346","3,600,677,932.40","132,104"
33,04-May-2023,EQ,110.0,111.9,109.5,109.7,110.9,111.05,111.1,"1,330.00",95.0,"38,636,907","4,292,397,887.10","141,966"
34,03-May-2023,EQ,109.8,111.0,108.75,110.3,109.75,109.7,109.71,"1,330.00",95.0,"51,272,624","5,625,037,044.30","164,302"
35,02-May-2023,EQ,108.0,110.85,108.0,107.95,110.4,110.3,109.88,"1,330.00",95.0,"52,822,162","5,803,926,375.60","177,776"
36,28-Apr-2023,EQ,107.8,108.5,107.3,107.65,108.0,107.95,107.8,"1,330.00",95.0,"30,072,920","3,241,848,071.05","121,074"
37,27-Apr-2023,EQ,106.3,107.85,106.3,106.85,107.65,107.65,107.29,"1,330.00",95.0,"22,364,308","2,399,360,923.30","101,664"
38,26-Apr-2023,EQ,106.5,107.05,105.85,107.05,106.9,106.85,106.61,"1,330.00",95.0,"23,590,297","2,514,895,123.15","102,154"
39,25-Apr-2023,EQ,106.7,107.6,106.25,106.5,106.95,107.05,107.17,"1,330.00",95.0,"23,333,425","2,500,546,363.50","117,726"
40,24-Apr-2023,EQ,106.4,106.7,105.35,106.15,106.7,106.5,106.21,"1,330.00",95.0,"23,475,012","2,493,311,630.90","104,865"
41,21-Apr-2023,EQ,108.0,108.1,105.35,108.0,106.1,106.15,106.06,"1,366.65",95.0,"37,638,506","3,991,843,098.75","155,242"
42,20-Apr-2023,EQ,108.2,108.7,107.4,108.1,108.1,108.0,108.02,"1,366.65",95.0,"18,337,948","1,980,844,661.65","99,645"
43,19-Apr-2023,EQ,107.85,110.4,107.75,107.6,108.1,108.1,109.04,"1,366.65",95.0,"62,100,775","6,771,763,621.70","184,789"
44,18-Apr-2023,EQ,107.2,107.9,106.85,107.15,107.55,107.6,107.33,"1,366.65",95.0,"25,476,339","2,734,457,761.10","81,880"
45,17-Apr-2023,EQ,107.6,108.3,106.75,107.5,107.2,107.15,107.25,"1,366.65",95.0,"24,642,162","2,642,835,449.50","124,418"
46,13-Apr-2023,EQ,107.5,108.15,105.9,107.6,107.6,107.5,106.9,"1,384.00",95.0,"34,880,922","3,728,837,192.45","123,611"
47,12-Apr-2023,EQ,108.2,108.4,106.95,107.55,107.7,107.6,107.81,"1,384.00",95.0,"27,349,538","2,948,517,983.10","128,731"
48,11-Apr-2023,EQ,105.55,107.85,105.1,104.95,107.6,107.55,106.2,"1,384.00",95.0,"49,304,956","5,236,110,495.10","130,047"
49,10-Apr-2023,EQ,104.5,105.75,104.5,104.35,105.1,104.95,105.07,"1,384.00",95.0,"19,992,257","2,100,642,987.95","99,915"
50,06-Apr-2023,EQ,104.85,105.1,104.2,104.85,104.5,104.35,104.58,"1,386.70",95.0,"21,053,782","2,201,800,059.70","95,727"
51,05-Apr-2023,EQ,104.1,105.0,103.2,104.1,104.8,104.85,104.27,"1,386.70",95.0,"25,194,802","2,627,043,258.30","126,999"
52,03-Apr-2023,EQ,105.1,105.25,103.8,104.5,104.15,104.1,104.3,"1,386.70",95.0,"21,840,428","2,278,058,629.40","111,674"
53,31-Mar-2023,EQ,105.0,105.5,104.1,103.6,104.5,104.5,104.9,"1,386.70",95.0,"34,579,415","3,627,314,028.05","143,838"
54,29-Mar-2023,EQ,102.5,104.5,101.65,102.5,103.8,103.6,102.55,"1,386.70",95.0,"37,221,124","3,817,072,842.05","150,605"
55,28-Mar-2023,EQ,102.85,103.1,102.35,102.3,102.6,102.5,102.66,"1,386.70",95.0,"18,703,734","1,920,212,067.45","119,164"
56,27-Mar-2023,EQ,102.55,103.4,102.1,102.1,102.3,102.3,102.63,"1,386.70",95.0,"24,753,289","2,540,528,569.55","149,006"
57,24-Mar-2023,EQ,105.0,105.05,101.55,104.9,102.05,102.1,103.1,"1,386.70",95.0,"39,014,278","4,022,377,160.10","241,782"
58,23-Mar-2023,EQ,104.4,105.5,104.35,104.8,105.0,104.9,105.06,"1,386.70",95.0,"20,913,844","2,197,143,347.90","114,789"
59,22-Mar-2023,EQ,104.75,105.95,104.4,104.75,104.95,104.8,105.21,"1,386.70",95.0,"25,891,259","2,724,080,059.55","105,023"
60,21-Mar-2023,EQ,105.1,105.4,104.3,104.5,104.8,104.75,104.71,"1,386.70",95.0,"26,434,897","2,768,091,153.40","142,994"
61,20-Mar-2023,EQ,106.1,106.45,103.85,107.0,104.5,104.5,104.71,"1,386.70",95.0,"41,569,640","4,352,603,949.85","182,679"
