,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"8,268.00","8,291.40","8,171.30","8,268.60","8,230.60","8,243.45","8,207.94","8,432.15","5,161.80","343,189","2,816,875,135.80","31,484"
1,19-Jun-2023,EQ,"8,358.00","8,415.60","8,252.90","8,333.25","8,260.00","8,268.60","8,315.28","8,432.15","5,161.80","187,488","1,559,014,959.90","23,541"
2,16-Jun-2023,EQ,"8,364.95","8,432.15","8,305.85","8,333.20","8,328.00","8,333.25","8,347.22","8,432.15","5,157.05","356,982","2,979,808,738.55","45,896"
3,15-Jun-2023,EQ,"8,380.00","8,428.00","8,309.00","8,358.30","8,331.10","8,333.20","8,370.41","8,428.00","5,157.05","406,197","3,400,034,548.40","46,924"
4,14-Jun-2023,EQ,"8,308.95","8,366.95","8,276.75","8,276.30","8,362.35","8,358.30","8,324.33","8,366.95","5,157.05","289,643","2,411,083,670.70","46,957"
5,13-Jun-2023,EQ,"8,212.50","8,318.30","8,211.75","8,198.60","8,280.00","8,276.30","8,271.02","8,318.30","5,157.05","249,199","2,061,129,674.40","33,629"
6,12-Jun-2023,EQ,"8,160.50","8,205.00","8,102.35","8,153.25","8,185.20","8,198.60","8,173.58","8,217.70","5,157.05","195,134","1,594,943,003.30","39,762"
7,09-Jun-2023,EQ,"8,158.00","8,217.70","8,108.20","8,100.15","8,170.00","8,153.25","8,159.11","8,217.70","5,157.05","325,814","2,658,351,125.55","38,780"
8,08-Jun-2023,EQ,"8,170.00","8,213.95","8,086.00","8,157.60","8,104.00","8,100.15","8,143.47","8,213.95","5,157.05","349,085","2,842,763,054.55","40,115"
9,07-Jun-2023,EQ,"8,135.10","8,171.90","8,082.55","8,109.55","8,152.40","8,157.60","8,131.37","8,171.90","5,157.05","298,650","2,428,434,239.30","36,848"
10,06-Jun-2023,EQ,"7,888.00","8,120.00","7,888.00","7,882.00","8,115.00","8,109.55","8,047.21","8,120.00","5,157.05","635,244","5,111,938,769.15","73,615"
