,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,685.0,685.1,678.7,685.6,685.0,683.45,681.64,807.0,607.5,"1,537,058","1,047,723,249.85","40,704"
1,19-Jun-2023,EQ,694.95,696.0,681.5,690.85,685.65,685.6,685.52,807.0,607.5,"1,510,117","1,035,210,108.25","38,501"
2,16-Jun-2023,EQ,681.3,695.8,681.1,680.8,692.0,690.85,691.03,807.0,607.5,"3,397,721","2,347,919,793.30","48,749"
3,15-Jun-2023,EQ,682.75,688.0,676.65,682.75,680.3,680.8,680.75,807.0,607.5,"1,890,165","1,286,731,359.90","44,817"
4,14-Jun-2023,EQ,682.0,689.45,678.65,682.25,682.95,682.75,683.19,807.0,607.5,"4,009,140","2,739,015,463.90","60,273"
5,13-Jun-2023,EQ,676.1,684.0,676.1,678.95,683.0,682.25,681.52,807.0,607.5,"2,175,343","1,482,540,074.40","39,504"
6,12-Jun-2023,EQ,680.25,682.55,674.2,680.25,679.8,678.95,678.8,807.0,607.5,"2,017,017","1,369,151,642.40","51,513"
7,09-Jun-2023,EQ,692.0,692.4,677.8,690.05,679.0,680.25,685.94,807.0,607.5,"1,411,515","968,219,830.65","47,369"
8,08-Jun-2023,EQ,695.0,698.9,689.05,693.95,690.2,690.05,693.38,807.0,607.5,"1,312,986","910,394,847.55","26,462"
9,07-Jun-2023,EQ,697.0,697.75,692.8,694.0,695.0,693.95,695.05,807.0,607.5,"1,147,072","797,266,715.80","27,779"
10,06-Jun-2023,EQ,691.0,696.95,690.4,690.0,694.05,694.0,694.24,807.0,607.5,"1,618,425","1,123,576,688.00","42,329"
11,05-Jun-2023,EQ,689.0,691.5,684.65,683.35,690.0,690.0,688.67,807.0,607.5,"1,227,013","845,007,504.30","23,808"
12,02-Jun-2023,EQ,679.0,684.5,678.9,677.95,683.8,683.35,682.38,807.0,607.5,"1,168,519","797,379,188.85","30,594"
13,01-Jun-2023,EQ,685.0,685.1,676.5,685.1,678.4,677.95,679.19,807.0,607.5,"2,470,088","1,677,652,206.25","52,454"
14,31-May-2023,EQ,684.25,691.05,682.0,689.05,683.0,685.1,686.15,807.0,607.5,"3,370,272","2,312,526,330.35","45,835"
15,30-May-2023,EQ,691.0,694.0,684.1,690.0,689.0,689.05,687.9,807.0,607.5,"900,153","619,218,013.60","26,814"
16,29-May-2023,EQ,690.0,691.5,686.25,688.1,690.1,690.0,689.56,807.0,607.5,"1,116,759","770,069,506.70","25,355"
17,26-May-2023,EQ,676.0,688.95,676.0,675.8,687.2,688.1,684.43,815.35,607.5,"2,131,442","1,458,820,674.50","48,716"
18,25-May-2023,EQ,682.5,685.45,674.15,682.25,676.45,675.8,677.6,815.35,607.5,"2,210,598","1,497,892,217.40","34,438"
19,24-May-2023,EQ,680.65,684.8,674.0,680.65,682.3,682.25,681.72,815.35,607.5,"1,920,527","1,309,265,468.45","29,981"
20,23-May-2023,EQ,670.45,681.75,670.45,670.4,680.7,680.65,678.03,815.35,607.5,"2,087,867","1,415,628,048.00","36,177"
21,22-May-2023,EQ,668.0,672.05,661.95,668.0,671.2,670.4,666.27,815.35,607.5,"2,116,815","1,410,371,700.85","36,171"
22,19-May-2023,EQ,674.0,676.0,657.05,673.35,667.9,668.0,664.76,828.0,607.5,"4,632,213","3,079,330,555.15","88,570"
23,18-May-2023,EQ,679.0,681.8,672.15,677.8,673.0,673.35,675.73,828.0,607.5,"1,408,554","951,807,549.80","31,296"
24,17-May-2023,EQ,673.25,683.45,672.15,672.85,679.0,677.8,677.14,828.0,607.5,"2,527,136","1,711,212,833.30","56,772"
25,16-May-2023,EQ,677.0,677.85,671.0,675.95,674.0,672.85,673.66,828.0,607.5,"1,866,298","1,257,252,549.30","42,526"
26,15-May-2023,EQ,679.4,680.95,675.0,678.2,676.7,675.95,677.84,828.0,607.5,"2,432,818","1,649,055,724.10","45,096"
27,12-May-2023,EQ,685.05,685.8,673.0,682.9,678.25,678.2,677.25,828.0,607.5,"1,805,619","1,222,862,204.40","56,996"
28,11-May-2023,EQ,682.2,687.45,680.35,679.7,684.6,682.9,684.18,828.0,607.5,"2,228,828","1,524,924,279.25","70,351"
29,10-May-2023,EQ,695.8,695.8,677.3,694.4,680.5,679.7,682.06,828.0,607.5,"5,803,203","3,958,142,157.00","119,722"
30,09-May-2023,EQ,710.0,710.0,692.65,715.4,693.75,694.4,698.33,828.0,607.5,"8,030,712","5,608,051,108.20","152,020"
31,08-May-2023,EQ,718.7,725.0,700.45,714.85,718.35,715.4,715.29,828.0,607.5,"6,201,290","4,435,737,845.50","99,513"
32,05-May-2023,EQ,735.1,735.1,709.65,731.5,717.0,714.85,720.15,848.0,607.5,"3,930,399","2,830,479,979.90","57,503"
33,04-May-2023,EQ,740.25,742.75,728.15,739.8,731.65,731.5,734.24,848.0,607.5,"1,655,943","1,215,861,761.95","34,087"
34,03-May-2023,EQ,751.5,755.8,738.55,752.5,739.5,739.8,744.05,848.0,607.5,"1,031,469","767,463,033.95","27,944"
35,02-May-2023,EQ,744.3,759.95,743.55,740.3,752.0,752.5,753.71,848.0,607.5,"2,225,369","1,677,288,491.45","44,926"
36,28-Apr-2023,EQ,733.0,741.9,730.8,727.2,739.2,740.3,736.45,848.0,607.5,"2,374,556","1,748,736,761.30","50,315"
37,27-Apr-2023,EQ,716.3,730.75,716.3,715.35,728.1,727.2,725.51,848.0,607.5,"2,470,510","1,792,375,909.55","53,958"
38,26-Apr-2023,EQ,714.7,716.8,707.5,714.65,715.5,715.35,712.23,848.0,607.5,"3,621,655","2,579,464,594.35","53,593"
39,25-Apr-2023,EQ,719.9,721.2,705.3,729.85,715.55,714.65,714.8,848.0,607.5,"3,407,713","2,435,833,067.85","77,754"
40,24-Apr-2023,EQ,735.0,739.2,723.25,734.7,729.7,729.85,728.47,848.0,607.5,"1,049,786","764,740,930.05","39,806"
41,21-Apr-2023,EQ,732.5,743.9,731.0,732.05,735.0,734.7,736.71,848.0,607.5,"1,829,162","1,347,564,434.45","47,665"
42,20-Apr-2023,EQ,738.4,739.0,730.65,735.95,730.65,732.05,734.0,848.0,607.5,"1,084,257","795,841,202.95","39,343"
43,19-Apr-2023,EQ,741.9,741.9,731.5,738.65,736.6,735.95,736.62,848.0,607.5,"1,012,743","746,008,737.35","42,883"
