,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,381.8,384.95,380.6,380.15,383.35,382.5,382.82,444.9,352.0,"5,901,329","2,259,166,985.10","93,420"
1,19-Jun-2023,EQ,382.0,382.0,377.1,381.3,380.2,380.15,379.58,444.9,352.0,"5,314,720","2,017,347,500.55","91,249"
2,16-Jun-2023,EQ,385.55,388.65,379.15,388.95,380.4,381.3,382.64,453.7,352.0,"20,555,324","7,865,200,135.80","204,749"
3,15-Jun-2023,EQ,397.1,397.45,388.25,396.45,388.8,388.95,391.44,453.7,352.0,"14,351,160","5,617,591,712.45","165,386"
4,14-Jun-2023,EQ,396.3,397.15,392.7,395.55,397.1,396.45,395.06,453.7,352.0,"9,256,282","3,656,777,068.15","107,916"
5,13-Jun-2023,EQ,397.95,398.5,394.5,395.6,395.25,395.55,395.73,453.7,352.0,"6,508,093","2,575,439,247.45","91,010"
6,12-Jun-2023,EQ,399.8,399.8,394.6,397.3,395.65,395.6,397.06,453.7,352.0,"5,986,811","2,377,135,110.15","95,232"
7,09-Jun-2023,EQ,399.45,400.35,396.05,399.55,397.25,397.3,397.52,476.15,352.0,"6,009,116","2,388,760,106.00","101,103"
8,08-Jun-2023,EQ,404.1,404.75,398.75,402.8,399.95,399.55,400.27,476.15,352.0,"5,307,526","2,124,432,474.40","83,358"
9,07-Jun-2023,EQ,402.4,403.6,401.0,399.95,403.6,402.8,402.52,476.15,352.0,"4,107,930","1,653,524,386.75","64,560"
10,06-Jun-2023,EQ,403.35,403.35,395.55,404.2,400.0,399.95,398.98,476.15,352.0,"6,853,700","2,734,492,969.80","86,185"
11,05-Jun-2023,EQ,408.9,409.75,403.7,404.95,404.55,404.2,405.51,476.15,352.0,"3,626,430","1,470,554,210.75","65,499"
12,02-Jun-2023,EQ,408.7,409.8,404.0,407.15,405.35,404.95,406.53,488.0,352.0,"3,160,377","1,284,773,695.60","67,783"
13,01-Jun-2023,EQ,405.0,408.0,404.05,403.65,407.4,407.15,406.86,488.0,352.0,"3,532,742","1,437,320,552.70","59,327"
14,31-May-2023,EQ,401.75,404.8,400.5,402.5,403.9,403.65,403.43,488.0,352.0,"5,891,791","2,376,934,523.20","61,934"
15,30-May-2023,EQ,400.0,403.85,399.45,399.8,403.0,402.5,402.23,488.0,352.0,"3,689,486","1,484,010,896.85","76,385"
16,29-May-2023,EQ,404.0,406.0,399.35,401.7,400.0,399.8,401.85,488.0,352.0,"3,979,654","1,599,237,603.15","82,196"
17,26-May-2023,EQ,395.15,402.55,395.0,394.1,401.05,401.7,399.88,488.0,352.0,"3,963,090","1,584,753,034.70","65,343"
18,25-May-2023,EQ,399.0,399.0,392.65,399.7,395.0,394.1,395.45,488.0,352.0,"6,802,527","2,690,075,398.45","79,994"
19,24-May-2023,EQ,394.5,400.45,393.35,397.65,399.5,399.7,398.36,488.0,352.0,"4,128,487","1,644,642,807.90","56,094"
20,23-May-2023,EQ,397.0,402.1,396.05,395.75,397.2,397.65,399.3,488.0,352.0,"6,362,817","2,540,697,150.80","105,221"
